"Ma","Schlieren","cell_ids","cell_node_ids","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.500021957538862e+00,1.556958422782488e-02,31801,72382,2.904261806739506e-02,2.210938030700743e-02,0.000000000000000e+00,1.000026139753615e+00,1.774856183412474e+00,1.727290866009366e-04,0.000000000000000e+00,1.000007075209700e+00,5.075082018187151e+00,1,0.000000000000000e+00,0.000000000000000e+00,4.000000059604645e-01,5.000000000000000e-01
1.500013765311652e+00,1.531183362851075e-02,31801,72382,2.854829482499139e-02,2.174904277697900e-02,0.000000000000000e+00,1.000032746914605e+00,1.774848887237773e+00,1.630040672260330e-04,0.000000000000000e+00,1.000009777077291e+00,5.075078526277644e+00,1,2.500000118743628e-04,2.500000118743628e-04,4.000000059604645e-01,5.000000000000000e-01
1.500005573084441e+00,1.505408302919664e-02,31801,72382,2.805397158258760e-02,2.138870524695072e-02,0.000000000000000e+00,1.000039354075595e+00,1.774841591063071e+00,1.532790478511268e-04,0.000000000000000e+00,1.000012478944881e+00,5.075075034368139e+00,1,5.000000237487257e-04,5.000000237487257e-04,4.000000059604645e-01,5.000000000000000e-01
1.499997380858184e+00,1.479633245988863e-02,31801,72382,2.755964839773065e-02,2.102836775887119e-02,0.000000000000000e+00,1.000045961235816e+00,1.774834294889218e+00,1.435540296083627e-04,0.000000000000000e+00,1.000015180812158e+00,5.075071542459039e+00,1,7.500000065192580e-04,7.500000065192580e-04,4.000000059604645e-01,5.000000000000000e-01
1.499989188630019e+00,1.453858183056840e-02,31801,72382,2.706532509778010e-02,2.066803018689406e-02,0.000000000000000e+00,1.000052568397576e+00,1.774826998713667e+00,1.338290091013162e-04,0.000000000000000e+00,1.000017882680063e+00,5.075068050549127e+00,1,1.000000047497451e-03,1.000000047497451e-03,4.000000059604645e-01,5.000000000000000e-01
1.499980996405670e+00,1.428083132127264e-02,31801,72382,2.657100202801675e-02,2.030769278271215e-02,0.000000000000000e+00,1.000059175556259e+00,1.774819702541514e+00,1.241039931228346e-04,0.000000000000000e+00,1.000020584546710e+00,5.075064558640841e+00,1,1.249999972060323e-03,1.249999972060323e-03,4.000000059604645e-01,5.000000000000000e-01
1.499972804177506e+00,1.402308069195241e-02,31801,72382,2.607667872806626e-02,1.994735521073500e-02,0.000000000000000e+00,1.000065782718018e+00,1.774812406365963e+00,1.143789726157889e-04,0.000000000000000e+00,1.000023286414615e+00,5.075061066730930e+00,1,1.500000013038516e-03,1.500000013038516e-03,4.000000059604645e-01,5.000000000000000e-01
1.499964611949341e+00,1.376533006263216e-02,31801,72382,2.558235542811567e-02,1.958701763875788e-02,0.000000000000000e+00,1.000072389879777e+00,1.774805110190412e+00,1.046539521087416e-04,0.000000000000000e+00,1.000025988282520e+00,5.075057574821016e+00,1,1.750000054016709e-03,1.750000054016709e-03,4.000000059604645e-01,5.000000000000000e-01
1.499956419721177e+00,1.350757943331193e-02,31801,72382,2.508803212816512e-02,1.922668006678074e-02,0.000000000000000e+00,1.000078997041537e+00,1.774797814014861e+00,9.492893160169506e-05,0.000000000000000e+00,1.000028690150425e+00,5.075054082911104e+00,1,2.000000094994903e-03,2.000000094994903e-03,4.000000059604645e-01,5.000000000000000e-01
1.499948227500642e+00,1.324982904404063e-02,31801,72382,2.459370928858895e-02,1.886634283039406e-02,0.000000000000000e+00,1.000085604197143e+00,1.774790517846105e+00,8.520392015177825e-05,0.000000000000000e+00,1.000031392015814e+00,5.075050591004445e+00,1,2.249999903142452e-03,2.249999903142452e-03,4.000000059604645e-01,5.000000000000000e-01
