#   iter  time             time step        CFL              NlinRnorm0       NlinRnorm0(r)    Elem Eq RHO      Elem Eq RHOU     Elem Eq RHOV     Elem Eq RHOW     Elem Eq RHOE     Elem Eq       
       1  0.000000000E+00  9.638828905E-12  1.000000000E-02  8.784939743E+04  1.000000000E+00  2.512517084E+08  2.113147746E+11  1.652987440E+10  1.477630321E+10  1.339811346E+14  1.255668656E+08
      20  2.942623394E-10  2.433934246E-11  2.526950195E-02  8.777435652E+04  9.991458005E-01  2.423533361E+08  1.426060115E+11  8.379717926E+09  6.684924960E+09  1.253098331E+14  4.772996626E+06
      40  1.098298476E-09  6.445057586E-11  6.704751154E-02  8.756713301E+04  9.967869510E-01  2.350196131E+08  1.191337623E+11  7.587701434E+09  6.316092637E+09  1.224133873E+14  1.614740983E+06
      60  3.224859586E-09  1.703030318E-10  1.778970085E-01  8.699904435E+04  9.903203311E-01  2.310307517E+08  1.107650881E+11  8.516116735E+09  7.578541988E+09  1.208934385E+14  6.635263716E+05
      80  8.842929649E-09  4.499060506E-10  4.720137244E-01  8.577685202E+04  9.764079724E-01  2.327162942E+08  1.089231479E+11  1.143992332E+10  1.080283439E+10  1.212774093E+14  2.735623204E+05
     100  2.367133655E-08  1.184306042E-09  1.252392932E+00  8.373567439E+04  9.531730079E-01  2.460846731E+08  1.128235526E+11  1.776950633E+10  1.737265667E+10  1.284443715E+14  1.039462352E+05
     120  6.206536330E-08  3.001673500E-09  3.322971292E+00  8.076703124E+04  9.193805946E-01  2.940397117E+08  1.293313154E+11  3.198511861E+10  3.175673723E+10  1.568653990E+14  7.050191014E+04
     140  1.528959509E-07  6.500869381E-09  8.816832104E+00  7.554856464E+04  8.599781769E-01  4.732450916E+08  1.900653947E+11  8.565017946E+10  8.558911683E+10  2.978990225E+14  1.493976068E+05
     160  2.826626408E-07  5.831610119E-09  1.020658526E+01  6.964134942E+04  7.927356528E-01  7.536643372E+08  3.194592065E+11  2.272263938E+11  2.270079949E+11  7.171263779E+14  3.302862663E+05
     180  3.904510152E-07  4.983546695E-09  1.020658526E+01  6.595596942E+04  7.507845398E-01  8.846200551E+08  4.606916182E+11  3.650163336E+11  3.646804941E+11  1.229012644E+15  4.314785236E+05
     200  4.855111966E-07  4.554944223E-09  1.020658526E+01  6.456092242E+04  7.349045561E-01  8.930001680E+08  5.314819834E+11  4.533438453E+11  4.544934307E+11  1.440423272E+15  4.874478708E+05
     220  5.744670050E-07  4.355733173E-09  1.020658526E+01  6.520997802E+04  7.422928321E-01  8.332044558E+08  5.852340959E+11  5.016347633E+11  4.989966572E+11  1.553223044E+15  4.949146850E+05
     240  6.601167680E-07  4.182508263E-09  1.020658526E+01  6.781913673E+04  7.719931920E-01  7.893852881E+08  6.070856800E+11  5.339774765E+11  5.245466945E+11  1.607160779E+15  4.941571467E+05
     260  7.424165307E-07  4.056793564E-09  1.020658526E+01  7.417957707E+04  8.443948308E-01  7.432512879E+08  6.276953190E+11  5.269612800E+11  5.303113854E+11  1.601966095E+15  4.747430324E+05
     280  8.233373772E-07  4.059815635E-09  1.020658526E+01  8.707467889E+04  9.911812879E-01  6.620196604E+08  6.199551362E+11  4.890882981E+11  4.912966098E+11  1.470922181E+15  4.269071897E+05
     300  9.084790466E-07  4.883851061E-09  1.181539827E+01  1.080979506E+05  1.230491656E+00  5.328840078E+08  5.595748279E+11  4.244422284E+11  4.236853922E+11  1.243522635E+15  3.554480334E+05
     320  1.022230017E-06  6.857824319E-09  1.507977496E+01  1.554437681E+05  1.769434654E+00  3.962168462E+08  4.820867064E+11  3.349679709E+11  3.351931699E+11  9.792173027E+14  2.783500103E+05
     340  1.194756349E-06  1.076857036E-08  2.227969561E+01  1.998043985E+05  2.274396915E+00  2.962797924E+08  3.772901324E+11  2.428271082E+11  2.434423280E+11  7.341265532E+14  2.054418662E+05
     360  1.483302914E-06  1.950146233E-08  4.001113230E+01  1.984214063E+05  2.258654152E+00  1.759320193E+08  2.231384138E+11  1.436878504E+11  1.416691251E+11  4.343471855E+14  1.232204485E+05
     380  2.045605850E-06  4.091835536E-08  8.318027042E+01  1.740915738E+05  1.981704815E+00  9.924365721E+07  1.205446298E+11  7.709144215E+10  7.715809942E+10  2.350529463E+14  8.021038011E+04
     400  3.183204573E-06  7.794991986E-08  1.646912459E+02  1.755969405E+05  1.998840580E+00  5.027017729E+07  6.399075438E+10  3.879315776E+10  3.856654921E+10  1.192608737E+14  5.337835154E+04
     420  5.151271080E-06  1.292504800E-07  2.816779197E+02  1.880363213E+05  2.140439512E+00  2.510230779E+07  3.635528003E+10  1.938821570E+10  1.949573042E+10  6.262772978E+13  4.362527156E+04
     440  8.582793861E-06  2.338521294E-07  5.058530740E+02  1.934244466E+05  2.201773174E+00  1.313742049E+07  2.029597889E+10  1.001514520E+10  9.981370112E+09  3.326520106E+13  3.878539305E+04
     460  1.463864562E-05  4.018159572E-07  8.651804220E+02  1.974589314E+05  2.247698187E+00  7.024015653E+06  1.093734308E+10  5.238564374E+09  5.278628080E+09  1.768422139E+13  3.223665395E+04
     480  2.378216062E-05  4.646120705E-07  1.000000000E+03  1.986848268E+05  2.261652699E+00  3.748035022E+06  5.941543720E+09  2.697553902E+09  2.694489637E+09  9.365113243E+12  2.588177020E+04
     500  3.307429266E-05  4.646035964E-07  1.000000000E+03  1.942068698E+05  2.210679589E+00  2.406775523E+06  3.847590650E+09  1.682442948E+09  1.679500042E+09  5.954688133E+12  2.196570035E+04
     520  4.236635672E-05  4.646030596E-07  1.000000000E+03  1.804867694E+05  2.054502076E+00  1.695191327E+06  2.706613997E+09  1.129106515E+09  1.125603644E+09  4.098054961E+12  1.929859932E+04
     540  5.165841813E-05  4.646030867E-07  1.000000000E+03  1.651114081E+05  1.879482534E+00  1.284443028E+06  2.154756984E+09  8.914040328E+08  8.225512167E+08  3.336497402E+12  3.390954768E+04
     560  6.095048001E-05  4.646030962E-07  1.000000000E+03  1.508859180E+05  1.717552111E+00  3.069798775E+06  4.609008527E+09  2.700251872E+09  1.876305023E+09  8.678524930E+12  1.265210019E+05
     580  7.024254189E-05  4.646030918E-07  1.000000000E+03  1.388126234E+05  1.580120382E+00  6.991753096E+06  1.130144313E+10  6.497338812E+09  6.658517513E+09  2.087264437E+13  2.672399039E+05
     600  7.953460371E-05  4.646030912E-07  1.000000000E+03  1.302305587E+05  1.482429732E+00  6.992220244E+06  1.392943902E+10  7.019768343E+09  5.886204428E+09  2.509413444E+13  2.674900766E+05
     620  8.882666554E-05  4.646030913E-07  1.000000000E+03  1.256706304E+05  1.430523533E+00  8.337304578E+06  9.846495747E+09  4.611931012E+09  4.015109524E+09  1.692887564E+13  2.594609378E+05
     640  9.811872736E-05  4.646030913E-07  1.000000000E+03  1.231729337E+05  1.402091958E+00  8.117170035E+06  1.028714779E+10  4.825297784E+09  5.086523270E+09  1.798092506E+13  2.637193228E+05
     660  1.074107892E-04  4.646030913E-07  1.000000000E+03  1.217575246E+05  1.385980191E+00  8.293271476E+06  1.059433843E+10  5.791740028E+09  6.027856327E+09  1.963195016E+13  2.850296198E+05
     680  1.167028510E-04  4.646030913E-07  1.000000000E+03  1.207641301E+05  1.374672265E+00  8.209826596E+06  1.170958908E+10  5.743602405E+09  7.362346072E+09  2.167785717E+13  3.079364334E+05
     700  1.259949128E-04  4.646030913E-07  1.000000000E+03  1.199560737E+05  1.365474063E+00  7.414151130E+06  1.511835964E+10  8.368445210E+09  6.246259818E+09  2.781552987E+13  2.790440800E+05
     720  1.352869747E-04  4.646030913E-07  1.000000000E+03  1.191725420E+05  1.356555031E+00  7.359192625E+06  1.046046186E+10  5.286262709E+09  4.198216518E+09  1.881283461E+13  2.677830413E+05
     740  1.445790365E-04  4.646030913E-07  1.000000000E+03  1.182686601E+05  1.346266037E+00  7.669967588E+06  9.697490456E+09  4.174884864E+09  4.738969199E+09  1.706511955E+13  2.513415902E+05
     760  1.538710983E-04  4.646030913E-07  1.000000000E+03  1.173600249E+05  1.335922936E+00  7.218885403E+06  1.014408293E+10  4.936539156E+09  5.656048040E+09  1.886669736E+13  2.585621608E+05
     780  1.631631601E-04  4.646030913E-07  1.000000000E+03  1.164219089E+05  1.325244251E+00  8.016713044E+06  1.014350200E+10  5.140006575E+09  6.380956501E+09  1.927729329E+13  2.919177541E+05
     800  1.724552220E-04  4.646030913E-07  1.000000000E+03  1.152933265E+05  1.312397465E+00  7.145748701E+06  1.430830401E+10  8.266707539E+09  6.239216165E+09  2.691495883E+13  2.767304570E+05
     820  1.817472838E-04  4.646030913E-07  1.000000000E+03  1.141150374E+05  1.298984862E+00  6.664328491E+06  1.093815364E+10  5.608665078E+09  4.405008939E+09  1.997419674E+13  2.609528691E+05
     840  1.910393456E-04  4.646030913E-07  1.000000000E+03  1.128150742E+05  1.284187228E+00  7.307219730E+06  9.182949626E+09  3.768391601E+09  4.611167707E+09  1.643093951E+13  2.431051711E+05
     860  2.003314075E-04  4.646030913E-07  1.000000000E+03  1.113255478E+05  1.267231775E+00  6.969586559E+06  9.817666117E+09  4.591218051E+09  5.374683360E+09  1.838081007E+13  2.493681652E+05
     880  2.096234693E-04  4.646030913E-07  1.000000000E+03  1.098948704E+05  1.250946206E+00  7.650741409E+06  9.875356884E+09  5.213982266E+09  5.866308844E+09  1.908377853E+13  2.776166843E+05
     900  2.189155311E-04  4.646030913E-07  1.000000000E+03  1.081091901E+05  1.230619597E+00  6.902036459E+06  1.268138378E+10  7.256311947E+09  5.949614964E+09  2.420850642E+13  2.737683588E+05
     920  2.282075929E-04  4.646030913E-07  1.000000000E+03  1.063804583E+05  1.210941240E+00  6.503377487E+06  1.130652619E+10  5.922317240E+09  4.639474653E+09  2.096234693E+13  2.556948696E+05
     940  2.374996548E-04  4.646030913E-07  1.000000000E+03  1.045611221E+05  1.190231524E+00  7.023405461E+06  9.169554533E+09  3.993075968E+09  4.564962365E+09  1.679898270E+13  2.427702182E+05
     960  2.467917166E-04  4.646030913E-07  1.000000000E+03  1.024612344E+05  1.166328255E+00  6.803205811E+06  9.423880112E+09  4.252492357E+09  5.067650938E+09  1.762862776E+13  2.431515533E+05
     980  2.560837784E-04  4.646030913E-07  1.000000000E+03  1.004117996E+05  1.142999298E+00  6.822029168E+06  9.511601181E+09  4.947837675E+09  5.251000281E+09  1.830537629E+13  2.529081276E+05
    1000  2.653758402E-04  4.646030913E-07  1.000000000E+03  9.824539234E+04  1.118338830E+00  6.289687229E+06  1.014401095E+10  5.502032916E+09  5.161863753E+09  1.936525337E+13  2.516677226E+05
#   iter  time             time step        CFL              NlinRnorm0       NlinRnorm0(r)    Elem Eq RHO      Elem Eq RHOU     Elem Eq RHOV     Elem Eq RHOW     Elem Eq RHOE     Elem Eq       
    1020  2.730297115E-04  1.484313953E-06  3.194799994E+03  9.640841797E+04  1.097428335E+00  8.185801247E+05  1.383918678E+09  7.340843922E+08  5.499268359E+08  2.497675325E+12  3.887552368E+04
    1040  3.525993699E-04  4.646030913E-06  1.000000000E+04  7.628182858E+04  8.683250063E-01  4.174581341E+07  3.898922372E+10  3.790104025E+10  3.950588761E+10  7.923952770E+13  1.190097041E+06
    1060  4.455199882E-04  4.646030913E-06  1.000000000E+04  5.024267170E+04  5.719182279E-01  4.271585303E+07  4.391369678E+10  3.765616989E+10  3.365066446E+10  7.317007226E+13  1.054765035E+06
    1080  5.384406065E-04  4.646030913E-06  1.000000000E+04  2.896028775E+04  3.296583539E-01  4.556667043E+07  3.841171576E+10  3.288640048E+10  3.056274236E+10  5.385798565E+13  8.567194971E+05
    1100  6.313612247E-04  4.646030913E-06  1.000000000E+04  1.450807801E+04  1.651471545E-01  3.507543358E+07  2.806935368E+10  2.762255189E+10  3.231148794E+10  5.722744943E+13  9.405457684E+05
    1120  7.242818430E-04  4.646030913E-06  1.000000000E+04  5.948142666E+03  6.770840597E-02  1.591709458E+07  1.508118966E+10  1.716136524E+10  1.366236394E+10  3.325432771E+13  5.886954744E+05
    1140  8.172024612E-04  4.646030913E-06  1.000000000E+04  2.237119926E+03  2.546539864E-02  7.568059597E+06  8.273502934E+09  4.298416880E+09  4.211473854E+09  1.343263426E+13  2.270646324E+05
    1160  9.055931994E-04  1.045356955E-07  2.250000000E+02  7.833772093E+02  8.917274702E-03  4.533458702E+06  9.124133269E+08  5.766545004E+08  6.153514209E+08  1.342362981E+12  2.757469083E+04
    1180  1.162871554E-03  2.574874260E-05  5.542094550E+04  8.475145452E+01  9.647357523E-04  7.669318680E+03  7.244543248E+06  4.237614283E+06  2.385391019E+06  1.367525053E+10  5.634990745E+02
    1200  1.896577149E-03  1.742261592E-05  3.750000000E+04  4.353199420E-02  4.955297984E-07  4.021461931E+00  5.213398722E+03  2.785295407E+03  2.062572795E+03  9.640652624E+06  3.712009341E-01
    1220  2.280691384E-03  2.205049828E-05  4.746093750E+04  3.947168185E-04  4.493107865E-09  4.299549717E-02  4.577334503E+01  2.524929660E+01  1.852870089E+01  8.668061280E+04  2.706708156E-03
    1240  2.743751848E-03  2.480681056E-05  5.339355469E+04  6.873081087E-06  7.823708857E-11  7.228100715E-04  8.606106847E-01  5.325592662E-01  2.340183627E-01  1.654734107E+03  5.367565273E-05
    1260  3.194538109E-03  1.569805981E-05  3.378810883E+04  1.678690436E-07  1.910873022E-12  4.060824729E-05  2.810798897E-02  1.850082812E-02  1.619848671E-02  6.593007354E+01  8.879778064E-07
