"ObjectId","Points:0","Points:1","Points:2","arc_length","pressure","wall-heat-flux","wall-tau-mag","wall-y_plus"
2.00000000e+00,1.68022001e+00,0.00000000e+00,1.77660003e-01,4.94605865e-02,1.05260089e+05,2.04565848e+06,1.07214721e+03,9.02877992e-01
2.00000000e+00,1.67762744e+00,0.00000000e+00,1.75976247e-01,5.25519329e-02,1.05431512e+05,2.03662509e+06,1.05430401e+03,8.96293366e-01
2.00000000e+00,1.67503500e+00,0.00000000e+00,1.74292505e-01,5.56431713e-02,1.05557108e+05,2.02543672e+06,1.03410423e+03,8.88477223e-01
2.00000000e+00,1.67244256e+00,0.00000000e+00,1.72608748e-01,5.87344178e-02,1.05616245e+05,2.01175146e+06,1.01142185e+03,8.79266786e-01
2.00000000e+00,1.66984999e+00,0.00000000e+00,1.70925006e-01,6.18257561e-02,1.05558602e+05,1.98511773e+06,9.72268297e+02,8.62517576e-01
2.00000000e+00,1.66725755e+00,0.00000000e+00,1.69241250e-01,6.49170025e-02,1.05501217e+05,1.97430812e+06,9.56970588e+02,8.55709199e-01
2.00000000e+00,1.66466498e+00,0.00000000e+00,1.67557493e-01,6.80083490e-02,1.05258365e+05,1.94929210e+06,9.23704365e+02,8.40327105e-01
2.00000000e+00,1.66207254e+00,0.00000000e+00,1.65873751e-01,7.10995873e-02,1.04656303e+05,1.91679152e+06,8.85544781e+02,8.21184870e-01
2.00000000e+00,1.65947998e+00,0.00000000e+00,1.64189994e-01,7.41909338e-02,1.03635927e+05,1.87715021e+06,8.43498191e+02,7.98432460e-01
2.00000000e+00,1.65688753e+00,0.00000000e+00,1.62506253e-01,7.72821721e-02,1.02183853e+05,1.83013312e+06,7.97061187e+02,7.71710742e-01
2.00000000e+00,1.65429497e+00,0.00000000e+00,1.60822496e-01,8.03735186e-02,1.00119492e+05,1.77356418e+06,7.45365762e+02,7.39875890e-01
2.00000000e+00,1.65170252e+00,0.00000000e+00,1.59138754e-01,8.34647569e-02,9.72478427e+04,1.70654295e+06,6.89539942e+02,7.02695127e-01
2.00000000e+00,1.64910996e+00,0.00000000e+00,1.57454997e-01,8.65561034e-02,9.34842809e+04,1.62940173e+06,6.31251555e+02,6.60665064e-01
2.00000000e+00,1.64651752e+00,0.00000000e+00,1.55771255e-01,8.96473417e-02,8.88555314e+04,1.54332627e+06,5.71831721e+02,6.14564751e-01
2.00000000e+00,1.64392495e+00,0.00000000e+00,1.54087499e-01,9.27386882e-02,8.05747514e+04,1.40148338e+06,4.82709619e+02,5.39988375e-01
2.00000000e+00,1.64133251e+00,0.00000000e+00,1.52403757e-01,9.58299265e-02,7.74691823e+04,1.35166775e+06,4.53909842e+02,5.14120521e-01
2.00000000e+00,1.63873994e+00,2.01948392e-28,1.50720000e-01,9.89212730e-02,7.11745671e+04,1.25237261e+06,3.97058146e+02,4.62238233e-01
2.00000000e+00,1.63614750e+00,0.00000000e+00,1.49036244e-01,1.02012519e-01,6.48046536e+04,1.15733768e+06,3.41940435e+02,4.10453818e-01
2.00000000e+00,1.63355505e+00,2.01948392e-28,1.47352502e-01,1.05103758e-01,5.84682332e+04,1.07581772e+06,2.89053791e+02,3.59315360e-01
2.00000000e+00,1.63096249e+00,-2.01948392e-28,1.45668745e-01,1.08195104e-01,5.21127341e+04,1.00828708e+06,2.36053099e+02,3.07106547e-01
2.00000000e+00,1.62837005e+00,0.00000000e+00,1.43985003e-01,1.11286343e-01,4.55537069e+04,9.40372421e+05,1.77546476e+02,2.49269744e-01
2.00000000e+00,1.62577748e+00,0.00000000e+00,1.42301247e-01,1.14377689e-01,3.85431902e+04,8.55017529e+05,1.13634655e+02,1.83244342e-01
2.00000000e+00,1.62318504e+00,0.00000000e+00,1.40617505e-01,1.17468927e-01,3.11245799e+04,7.46387651e+05,6.83975219e+01,1.28726824e-01
2.00000000e+00,1.62059247e+00,0.00000000e+00,1.38933748e-01,1.20560274e-01,2.41876912e+04,6.18018739e+05,7.23377181e+01,1.15342300e-01
2.00000000e+00,1.61800003e+00,0.00000000e+00,1.37250021e-01,1.23651504e-01,2.10179948e+04,5.49273745e+05,8.89299180e+01,1.21446325e-01
2.00000000e+00,1.61800003e+00,0.00000000e+00,1.37250006e-01,1.23651519e-01,2.10179774e+04,5.49273367e+05,8.89300093e+01,1.21446359e-01
3.00000000e+00,1.61800003e+00,0.00000000e+00,1.37250006e-01,0.00000000e+00,7.92103991e+03,2.18688606e+05,9.97588889e+01,8.02800611e-02
3.00000000e+00,1.61492002e+00,0.00000000e+00,1.37250006e-01,3.08001041e-03,6.95769552e+03,1.79100009e+05,6.35392203e+01,5.86902456e-02
3.00000000e+00,1.61183655e+00,0.00000000e+00,1.37250006e-01,6.16347790e-03,5.10774562e+03,1.33619873e+05,4.55690454e+01,4.26478728e-02
3.00000000e+00,1.60874641e+00,0.00000000e+00,1.37250006e-01,9.25362110e-03,3.97060427e+03,1.35748173e+05,9.37865271e+01,5.59717979e-02
3.00000000e+00,1.60564613e+00,0.00000000e+00,1.37250006e-01,1.23538971e-02,3.69075845e+03,1.46363086e+05,1.29754938e+02,6.53927844e-02
3.00000000e+00,1.60253227e+00,0.00000000e+00,1.37250006e-01,1.54677629e-02,3.65832111e+03,1.49299477e+05,1.36363963e+02,6.75654162e-02
3.00000000e+00,1.59940147e+00,0.00000000e+00,1.37250006e-01,1.85985565e-02,3.65445913e+03,1.49669188e+05,1.37033083e+02,6.85116281e-02
3.00000000e+00,1.59625030e+00,0.00000000e+00,1.37250006e-01,2.17497349e-02,3.65322735e+03,1.49694702e+05,1.37102353e+02,6.93398215e-02
3.00000000e+00,1.59307528e+00,0.00000000e+00,1.37250006e-01,2.49247551e-02,3.65224227e+03,1.49685509e+05,1.37114165e+02,7.01616602e-02
3.00000000e+00,1.58987296e+00,0.00000000e+00,1.37250006e-01,2.81270742e-02,3.65127943e+03,1.49672979e+05,1.37120312e+02,7.09887428e-02
3.00000000e+00,1.58663976e+00,0.00000000e+00,1.37250006e-01,3.13602686e-02,3.65031760e+03,1.49660451e+05,1.37126719e+02,7.18232819e-02
3.00000000e+00,1.58337235e+00,0.00000000e+00,1.37250006e-01,3.46276760e-02,3.64935150e+03,1.49648442e+05,1.37134245e+02,7.26663864e-02
3.00000000e+00,1.58006680e+00,0.00000000e+00,1.37250006e-01,3.79332304e-02,3.64838254e+03,1.49636990e+05,1.37142855e+02,7.35190138e-02
3.00000000e+00,1.57671976e+00,0.00000000e+00,1.37250006e-01,4.12802696e-02,3.64741523e+03,1.49626297e+05,1.37152669e+02,7.43822038e-02
3.00000000e+00,1.57332754e+00,0.00000000e+00,1.37250006e-01,4.46724892e-02,3.64693225e+03,1.49621135e+05,1.37157872e+02,7.48165622e-02
3.00000000e+00,1.56988633e+00,0.00000000e+00,1.37250006e-01,4.81137037e-02,3.64549847e+03,1.49607742e+05,1.37176507e+02,7.61444894e-02
3.00000000e+00,1.56639230e+00,0.00000000e+00,1.37250006e-01,5.16077280e-02,3.64455667e+03,1.49600304e+05,1.37190923e+02,7.70457729e-02
3.00000000e+00,1.56284177e+00,0.00000000e+00,1.37250006e-01,5.51582575e-02,3.64363108e+03,1.49594372e+05,1.37207233e+02,7.79619659e-02
3.00000000e+00,1.55923080e+00,0.00000000e+00,1.37250006e-01,5.87692261e-02,3.64272523e+03,1.49590133e+05,1.37225587e+02,7.88941953e-02
3.00000000e+00,1.55555546e+00,0.00000000e+00,1.37250006e-01,6.24445677e-02,3.64184226e+03,1.49587752e+05,1.37246131e+02,7.98436050e-02
3.00000000e+00,1.55181170e+00,0.00000000e+00,1.37250006e-01,6.61883354e-02,3.64098454e+03,1.49587387e+05,1.37269016e+02,8.08113548e-02
3.00000000e+00,1.54799533e+00,0.00000000e+00,1.37250006e-01,7.00047016e-02,3.64015325e+03,1.49589172e+05,1.37294354e+02,8.17986031e-02
3.00000000e+00,1.54410231e+00,0.00000000e+00,1.37250006e-01,7.38977194e-02,3.63934818e+03,1.49593175e+05,1.37322190e+02,8.28064986e-02
3.00000000e+00,1.54012823e+00,0.00000000e+00,1.37250006e-01,7.78717995e-02,3.63856775e+03,1.49599409e+05,1.37352542e+02,8.38361895e-02
3.00000000e+00,1.53606892e+00,0.00000000e+00,1.37250006e-01,8.19311142e-02,3.63780890e+03,1.49607823e+05,1.37385399e+02,8.48888230e-02
3.00000000e+00,1.53191972e+00,0.00000000e+00,1.37250006e-01,8.60803127e-02,3.63706744e+03,1.49618343e+05,1.37420794e+02,8.59655726e-02
3.00000000e+00,1.52767622e+00,0.00000000e+00,1.37250006e-01,9.03238058e-02,3.63633803e+03,1.49630886e+05,1.37458750e+02,8.70676206e-02
3.00000000e+00,1.52333367e+00,0.00000000e+00,1.37250006e-01,9.46663618e-02,3.63561497e+03,1.49645375e+05,1.37499278e+02,8.81961688e-02
3.00000000e+00,1.51888752e+00,0.00000000e+00,1.37250006e-01,9.91125107e-02,3.63525437e+03,1.49653098e+05,1.37520191e+02,8.87672222e-02
3.00000000e+00,1.51433265e+00,0.00000000e+00,1.37250006e-01,1.03667378e-01,3.63416572e+03,1.49679982e+05,1.37588298e+02,9.05377917e-02
3.00000000e+00,1.50966418e+00,0.00000000e+00,1.37250006e-01,1.08335853e-01,3.63342607e+03,1.49699783e+05,1.37636952e+02,9.17534416e-02
3.00000000e+00,1.50487697e+00,0.00000000e+00,1.37250006e-01,1.13123059e-01,3.63267423e+03,1.49721321e+05,1.37688800e+02,9.30009517e-02
3.00000000e+00,1.49996579e+00,0.00000000e+00,1.37250006e-01,1.18034244e-01,3.63191641e+03,1.49745069e+05,1.37744426e+02,9.42820403e-02
3.00000000e+00,1.49492526e+00,0.00000000e+00,1.37250006e-01,1.23074770e-01,3.63116264e+03,1.49771657e+05,1.37804501e+02,9.55985623e-02
3.00000000e+00,1.48974991e+00,0.00000000e+00,1.37250006e-01,1.28250122e-01,3.63042553e+03,1.49801728e+05,1.37869735e+02,9.69524839e-02
3.00000000e+00,1.48443401e+00,0.00000000e+00,1.37250006e-01,1.33566022e-01,3.62972240e+03,1.49836113e+05,1.37940977e+02,9.83459557e-02
3.00000000e+00,1.47897172e+00,0.00000000e+00,1.37250006e-01,1.39028311e-01,3.62907539e+03,1.49875851e+05,1.38019331e+02,9.97813639e-02
3.00000000e+00,1.47335696e+00,0.00000000e+00,1.37250006e-01,1.44643068e-01,3.62850975e+03,1.49922255e+05,1.38106053e+02,1.01261289e-01
3.00000000e+00,1.46758378e+00,0.00000000e+00,1.37250006e-01,1.50416255e-01,3.62805111e+03,1.49976662e+05,1.38202291e+02,1.02788381e-01
3.00000000e+00,1.46164584e+00,0.00000000e+00,1.37250006e-01,1.56354189e-01,3.62772111e+03,1.50040125e+05,1.38309239e+02,1.04365361e-01
3.00000000e+00,1.45553637e+00,0.00000000e+00,1.37250006e-01,1.62463665e-01,3.62753362e+03,1.50112757e+05,1.38428389e+02,1.05995071e-01
3.00000000e+00,1.44924903e+00,0.00000000e+00,1.37250006e-01,1.68751001e-01,3.62756395e+03,1.50198043e+05,1.38562461e+02,1.07681854e-01
3.00000000e+00,1.44277668e+00,0.00000000e+00,1.37250006e-01,1.75223351e-01,3.62765126e+03,1.50244805e+05,1.38633705e+02,1.08540240e-01
3.00000000e+00,1.43611228e+00,0.00000000e+00,1.37250006e-01,1.81887746e-01,3.62849529e+03,1.50417372e+05,1.38881626e+02,1.11241902e-01
3.00000000e+00,1.42924857e+00,0.00000000e+00,1.37250006e-01,1.88751459e-01,3.62947922e+03,1.50555443e+05,1.39071058e+02,1.13123383e-01
3.00000000e+00,1.42217791e+00,1.00974196e-28,1.37250006e-01,1.95822120e-01,3.63087549e+03,1.50715527e+05,1.39283489e+02,1.15078578e-01
