#   iter  time             time step        CFL              NlinRnorm0       NlinRnorm0(r)    Elem Eq RHO      Elem Eq RHOU     Elem Eq RHOV     Elem Eq RHOW     Elem Eq RHOE     Elem Eq       
       1  0.000000000E+00  2.417254536E-12  1.000000000E-02  1.072069569E+04  1.000000000E+00  2.174876491E+09  6.182405192E+12  5.388612729E+11  4.912352951E+11  1.271630680E+15  7.988337661E+09
      20  7.381511209E-11  6.107282349E-12  2.526950195E-02  1.071670167E+04  9.996274481E-01  2.029904125E+09  2.041398131E+12  1.202243654E+11  9.477091019E+10  1.081944667E+15  1.041590620E+08
      40  2.757118905E-10  1.619657220E-11  6.704751154E-02  1.070908210E+04  9.989167134E-01  1.951286688E+09  1.289896714E+12  7.564753861E+10  6.002884692E+10  1.053515060E+15  3.745651579E+07
      60  8.109412512E-10  4.291931277E-11  1.778970085E-01  1.069181434E+04  9.973060195E-01  1.894449946E+09  1.013969653E+12  6.113987886E+10  4.941874609E+10  1.022802437E+15  1.623432880E+07
      80  2.227987418E-09  1.135298448E-10  4.720137244E-01  1.065633281E+04  9.939963898E-01  1.856923263E+09  9.080993124E+11  6.247201377E+10  5.366409973E+10  9.885682097E+14  7.233387294E+06
     100  5.972687445E-09  2.998902137E-10  1.252392932E+00  1.059484368E+04  9.882608362E-01  1.851491878E+09  8.780383201E+11  7.902988602E+10  7.289178392E+10  9.779051988E+14  3.130611725E+06
     120  1.586355756E-08  7.916246580E-10  3.322971292E+00  1.049949151E+04  9.793666212E-01  1.909923358E+09  8.896989697E+11  1.171548782E+11  1.132130566E+11  1.005598902E+15  1.251572703E+06
     140  4.178598510E-08  2.051156205E-09  8.816832104E+00  1.032151252E+04  9.627651809E-01  2.134683769E+09  9.647562371E+11  1.959383028E+11  1.935547606E+11  1.130305874E+15  5.082563705E+05
     160  1.064943224E-07  4.845865868E-09  2.339368039E+01  9.911799430E+03  9.245481562E-01  2.970567979E+09  1.242777561E+12  4.247059834E+11  4.235777727E+11  1.680429130E+15  8.414980487E+05
     180  2.282024686E-07  6.097159499E-09  3.810584028E+01  9.191353376E+03  8.573467287E-01  5.327566859E+09  2.244444346E+12  1.304005830E+12  1.303355714E+12  3.933941186E+15  2.176773873E+06
     200  3.321487935E-07  2.953197142E-09  2.100584446E+01  8.806915861E+03  8.214873473E-01  6.968395919E+09  2.818763292E+12  2.187547298E+12  2.189085403E+12  6.554767116E+15  3.369476424E+06
     220  3.887265246E-07  2.707425516E-09  2.100584446E+01  8.592260443E+03  8.014648204E-01  8.277675618E+09  3.532434128E+12  3.045278355E+12  3.046776185E+12  9.497572081E+15  4.305944626E+06
     240  4.411331487E-07  2.535156489E-09  2.100584446E+01  8.459454932E+03  7.890770506E-01  8.929136257E+09  4.197036688E+12  3.658905503E+12  3.661095355E+12  1.192832677E+16  4.804520959E+06
     260  4.906386726E-07  2.416900856E-09  2.100584446E+01  8.397818369E+03  7.833277442E-01  9.290042797E+09  4.741531015E+12  4.209619306E+12  4.213971335E+12  1.373649807E+16  5.184464708E+06
     280  5.228171846E-07  1.350537314E-09  1.215844534E+01  8.390348396E+03  7.826309636E-01  9.455909548E+09  5.128110091E+12  4.648614880E+12  4.650196245E+12  1.550303409E+16  5.463055943E+06
     300  5.494829278E-07  1.316131394E-09  1.215844534E+01  8.427364897E+03  7.860837713E-01  9.644847897E+09  5.533235621E+12  5.172180827E+12  5.177500432E+12  1.694581614E+16  5.750860141E+06
     320  5.755530663E-07  1.290978234E-09  1.215844534E+01  8.499371785E+03  7.928003959E-01  9.735005423E+09  5.876138841E+12  5.655941434E+12  5.651949533E+12  1.822196605E+16  5.943783206E+06
     340  6.011935097E-07  1.273296917E-09  1.215844534E+01  8.611016839E+03  8.032143707E-01  9.798108248E+09  6.179101918E+12  6.095521561E+12  6.093181264E+12  1.938690467E+16  6.087924246E+06
     360  6.265396613E-07  1.261671358E-09  1.215844534E+01  8.771424189E+03  8.181767718E-01  9.846732454E+09  6.468489290E+12  6.484877032E+12  6.521036368E+12  2.041268307E+16  6.189944929E+06
     380  6.515933466E-07  1.240401009E-09  1.215844534E+01  8.993714545E+03  8.389114669E-01  9.835888974E+09  6.716749118E+12  6.822124867E+12  6.833895972E+12  2.124587790E+16  6.227142039E+06
     400  6.761963838E-07  1.219582198E-09  1.215844534E+01  9.291693441E+03  8.667062020E-01  9.772865625E+09  6.962599842E+12  7.077025357E+12  7.078344620E+12  2.182531863E+16  6.212217818E+06
     420  7.004274169E-07  1.203455905E-09  1.215844534E+01  9.679361671E+03  9.028669364E-01  9.646855158E+09  7.188088379E+12  7.232905176E+12  7.230745569E+12  2.211936190E+16  6.145235250E+06
     440  7.243810626E-07  1.192101705E-09  1.215844534E+01  1.017490976E+04  9.490904377E-01  9.466235936E+09  7.387949970E+12  7.302781463E+12  7.302983479E+12  2.217180756E+16  6.038860351E+06
     460  7.481535171E-07  1.185650835E-09  1.215844534E+01  1.080400272E+04  1.007770674E+00  9.225747552E+09  7.558422294E+12  7.283390294E+12  7.284069010E+12  2.198234486E+16  5.894381488E+06
     480  7.718444845E-07  1.184155995E-09  1.215844534E+01  1.159303667E+04  1.081369811E+00  8.889409355E+09  7.655343137E+12  7.141043534E+12  7.149243971E+12  2.145741841E+16  5.688348592E+06
     500  7.955525002E-07  1.187519393E-09  1.215844534E+01  1.256084951E+04  1.171645001E+00  8.526175518E+09  7.708167878E+12  6.954059716E+12  6.935268899E+12  2.077197460E+16  5.465631765E+06
     520  8.193730178E-07  1.195721079E-09  1.215844534E+01  1.385575454E+04  1.292430542E+00  8.153983046E+09  7.730015682E+12  6.726377521E+12  6.713029239E+12  2.002681509E+16  5.244011544E+06
     540  8.434055281E-07  1.209109519E-09  1.215844534E+01  1.554544936E+04  1.450041099E+00  7.790492119E+09  7.738736919E+12  6.496895217E+12  6.485585006E+12  1.927359624E+16  5.036985783E+06
     560  8.688902161E-07  1.351197641E-09  1.340468599E+01  1.789097554E+04  1.668825985E+00  7.361609149E+09  7.693224967E+12  6.197011685E+12  6.180693078E+12  1.833427663E+16  4.798757279E+06
     580  8.966256612E-07  1.445971207E-09  1.407492029E+01  2.089524269E+04  1.949056601E+00  6.897685213E+09  7.604204771E+12  5.855244099E+12  5.845293694E+12  1.732129191E+16  4.546316998E+06
     600  9.268320656E-07  1.557046199E-09  1.477866631E+01  2.461522392E+04  2.296047257E+00  6.453145448E+09  7.513148675E+12  5.540011718E+12  5.529674515E+12  1.638787120E+16  4.303794263E+06
     620  9.597895431E-07  1.772427184E-09  1.629347960E+01  2.894527972E+04  2.699944161E+00  6.049811904E+09  7.411919900E+12  5.231045029E+12  5.232740197E+12  1.554199293E+16  4.068400997E+06
     640  9.965304515E-07  1.936353177E-09  1.710815358E+01  3.360973985E+04  3.135033474E+00  5.694046868E+09  7.258007243E+12  4.936858206E+12  4.949243494E+12  1.475918971E+16  3.832214134E+06
     660  1.036925729E-06  2.132379492E-09  1.796356126E+01  3.819510327E+04  3.562744843E+00  5.359868096E+09  7.007617782E+12  4.644298311E+12  4.676274286E+12  1.399107349E+16  3.583749630E+06
     680  1.081594608E-06  2.402425209E-09  1.980482629E+01  4.243098927E+04  3.957857821E+00  5.009501869E+09  6.642533218E+12  4.336784873E+12  4.377436583E+12  1.315364304E+16  3.323296869E+06
     700  1.132051514E-06  2.645264264E-09  2.183482099E+01  4.594462646E+04  4.285601215E+00  4.614557982E+09  6.160521091E+12  3.981751403E+12  4.014672790E+12  1.216089108E+16  3.043950711E+06
