"Ma","Schlieren","cell_ids","cell_node_ids","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.149764889108777e-01,9.652916990963477e-02,288,23144,7.802829934552959e-02,2.302638538209589e-01,0.000000000000000e+00,1.847743676117835e+00,9.707424350469708e-01,2.633565788915153e-03,0.000000000000000e+00,1.316741541488449e+00,5.079770440502099e+00,1,5.750000011175871e-03,1.050099968910217e+00,5.750000011175871e-03,5.000000000000000e-01
7.149739830030774e-01,9.822787263737763e-02,294,23155,7.729810105983764e-02,2.360163366990976e-01,0.000000000000000e+00,1.847768165314112e+00,9.707408691800077e-01,2.685773712690137e-03,0.000000000000000e+00,1.316746935676178e+00,5.079787948026235e+00,1,6.000000052154064e-03,1.050099968910217e+00,6.000000052154064e-03,5.000000000000000e-01
7.149714770952771e-01,9.992657536512051e-02,299,23166,7.656790277414567e-02,2.417688195772364e-01,0.000000000000000e+00,1.847792654510390e+00,9.707393033130447e-01,2.737981636465120e-03,0.000000000000000e+00,1.316752329863907e+00,5.079805455550371e+00,1,6.250000093132257e-03,1.050099968910217e+00,6.250000093132257e-03,5.000000000000000e-01
7.149689711874767e-01,1.016252780928634e-01,305,23177,7.583770448845371e-02,2.475213024553751e-01,0.000000000000000e+00,1.847817143706667e+00,9.707377374460818e-01,2.790189560240105e-03,0.000000000000000e+00,1.316757724051635e+00,5.079822963074507e+00,1,6.500000134110451e-03,1.050099968910217e+00,6.500000134110451e-03,5.000000000000000e-01
7.149643579636150e-01,1.037702562816574e-01,312,23189,7.463385962719812e-02,2.547644527788851e-01,0.000000000000000e+00,1.847867199543041e+00,9.707361982857211e-01,2.842671536551347e-03,0.000000000000000e+00,1.316770962822661e+00,5.079867953686693e+00,1,6.750000175088644e-03,1.050099968910217e+00,6.750000175088644e-03,5.000000000000000e-01
7.149555301198772e-01,1.068077827990504e-01,324,23200,7.248272436737076e-02,2.649889293302162e-01,0.000000000000000e+00,1.847968388511027e+00,9.707347125384097e-01,2.895701616342488e-03,0.000000000000000e+00,1.316799890714693e+00,5.079967910315262e+00,1,7.000000216066837e-03,1.050099968910217e+00,7.000000216066837e-03,5.000000000000000e-01
7.149467022925825e-01,1.098453036586097e-01,335,23211,7.033159311435655e-02,2.752133868369736e-01,0.000000000000000e+00,1.848069577290534e+00,9.707332267938659e-01,2.948731597357407e-03,0.000000000000000e+00,1.316828818552842e+00,5.080067866757647e+00,1,7.249999791383743e-03,1.050099968910217e+00,7.249999791383743e-03,5.000000000000000e-01
7.149378744488447e-01,1.128828301760025e-01,346,23223,6.818045785453526e-02,2.854378633883022e-01,0.000000000000000e+00,1.848170766258520e+00,9.707317410465544e-01,3.001761677148541e-03,0.000000000000000e+00,1.316857746444873e+00,5.080167823386217e+00,1,7.499999832361937e-03,1.050099968910217e+00,7.499999832361937e-03,5.000000000000000e-01
7.149290466051070e-01,1.159203566933954e-01,357,23234,6.602932259471087e-02,2.956623399396323e-01,0.000000000000000e+00,1.848271955226505e+00,9.707302552992430e-01,3.054791756939677e-03,0.000000000000000e+00,1.316886674336905e+00,5.080267780014785e+00,1,7.749999873340130e-03,1.050099968910217e+00,7.749999873340130e-03,5.000000000000000e-01
7.149202187449260e-01,1.189578888686212e-01,369,23245,6.387818332808856e-02,3.058868355355293e-01,0.000000000000000e+00,1.848373144382971e+00,9.707287695491641e-01,3.107821935507014e-03,0.000000000000000e+00,1.316915602282818e+00,5.080367736829539e+00,1,8.000000379979610e-03,1.050099968910217e+00,8.000000379979610e-03,5.000000000000000e-01
7.149113909176313e-01,1.219954097281809e-01,380,23257,6.172705207506824e-02,3.161112930422895e-01,0.000000000000000e+00,1.848474333162477e+00,9.707272838046200e-01,3.160851916521941e-03,0.000000000000000e+00,1.316944530120967e+00,5.080467693271924e+00,1,8.249999955296516e-03,1.050099968910217e+00,8.249999955296516e-03,5.000000000000000e-01
7.149025630574504e-01,1.250329419034067e-01,391,23268,5.957591280844594e-02,3.263357886381866e-01,0.000000000000000e+00,1.848575522318942e+00,9.707257980545412e-01,3.213882095089278e-03,0.000000000000000e+00,1.316973458066881e+00,5.080567650086676e+00,1,8.500000461935997e-03,1.050099968910217e+00,8.500000461935997e-03,5.000000000000000e-01
7.148937352301556e-01,1.280704627629664e-01,402,23279,5.742478155542562e-02,3.365602461449467e-01,0.000000000000000e+00,1.848676711098449e+00,9.707243123099971e-01,3.266912076104207e-03,0.000000000000000e+00,1.317002385905030e+00,5.080667606529060e+00,1,8.750000037252903e-03,1.050099968910217e+00,8.750000037252903e-03,5.000000000000000e-01
7.148849074028609e-01,1.311079836225261e-01,414,23290,5.527365030240532e-02,3.467847036517068e-01,0.000000000000000e+00,1.848777899877956e+00,9.707228265654533e-01,3.319942057119134e-03,0.000000000000000e+00,1.317031313743179e+00,5.080767562971447e+00,1,8.999999612569809e-03,1.050099968910217e+00,8.999999612569809e-03,5.000000000000000e-01
