"Ma","Schlieren","cell_ids","cell_node_ids","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.500000033020541e+00,3.605893865729884e-05,99876,163277,4.421202771633530e-05,5.510810012989357e-05,0.000000000000000e+00,9.999999722878556e-01,1.774823934475558e+00,9.495530797454916e-08,0.000000000000000e+00,9.999999554606481e-01,1.000000000000000e+00,5.074999843305923e+00,1,0.000000000000000e+00,0.000000000000000e+00,4.000000059604645e-01,5.000000000000000e-01
1.500000021128132e+00,3.154202689539789e-05,99876,163277,3.656099413138569e-05,3.164385957947403e-05,0.000000000000000e+00,9.999999804452784e-01,1.774823937743012e+00,4.932886778903686e-08,0.000000000000000e+00,9.999999749991972e-01,1.000000000000000e+00,5.074999917490001e+00,1,2.500000118743628e-04,2.500000118743628e-04,4.000000059604645e-01,5.000000000000000e-01
1.500000009235723e+00,2.702511513349714e-05,99877,163277,2.890996054643554e-05,8.179619029060358e-06,0.000000000000000e+00,9.999999886027011e-01,1.774823941010467e+00,3.702427603528087e-09,0.000000000000000e+00,9.999999945377467e-01,1.000000000000000e+00,5.074999991674082e+00,1,5.000000237487257e-04,5.000000237487257e-04,4.000000059604645e-01,5.000000000000000e-01
1.499999997343315e+00,2.250820389743392e-05,99877,163277,2.125892785218395e-05,-1.528461878975862e-05,0.000000000000000e+00,9.999999967601230e-01,1.774823944277921e+00,-4.192400727036505e-08,0.000000000000000e+00,1.000000014076294e+00,1.000000000000000e+00,5.075000065858150e+00,1,7.500000065192580e-04,7.500000065192580e-04,4.000000059604645e-01,5.000000000000000e-01
1.499999985450904e+00,1.799129160969564e-05,99877,163278,1.360789337653523e-05,-3.874886207176699e-05,0.000000000000000e+00,1.000000004917547e+00,1.774823947545376e+00,-8.755045276748944e-08,0.000000000000000e+00,1.000000033614846e+00,1.000000000000000e+00,5.075000140042238e+00,1,1.000000047497451e-03,1.000000047497451e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999989090835e+00,2.079449724881572e-05,99877,163278,1.741552458487340e-05,-1.387572133114323e-05,0.000000000000000e+00,1.000000003564070e+00,1.774823932997607e+00,-2.620446960658062e-08,0.000000000000000e+00,1.000000012368128e+00,1.000000000000000e+00,5.075000039859003e+00,1,1.249999972060323e-03,1.249999972060323e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999992730763e+00,2.359770280253185e-05,99878,163278,2.122315538924990e-05,1.099742180833122e-05,0.000000000000000e+00,1.000000002210595e+00,1.774823918449835e+00,3.514152179710762e-08,0.000000000000000e+00,9.999999911214090e-01,1.000000000000000e+00,5.074999939675754e+00,1,1.500000013038516e-03,1.500000013038516e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999996370692e+00,2.640090835624839e-05,99878,163278,2.503078619362481e-05,3.587056494780731e-05,0.000000000000000e+00,1.000000000857120e+00,1.774823903902062e+00,9.648751320079721e-08,0.000000000000000e+00,9.999999698746900e-01,1.000000000000000e+00,5.074999839492506e+00,1,1.750000054016709e-03,1.750000054016709e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000010621e+00,2.920411390996494e-05,99878,163279,2.883841699799973e-05,6.074370808728340e-05,0.000000000000000e+00,9.999999995036447e-01,1.774823889354290e+00,1.578335046044868e-07,0.000000000000000e+00,9.999999486279709e-01,1.000000000000000e+00,5.074999739309255e+00,1,2.000000094994903e-03,2.000000094994903e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000005393680e+00,3.138688491903072e-05,99878,163279,7.966715149308341e-06,2.898288672353402e-05,0.000000000000000e+00,1.000000009717730e+00,1.774823915973530e+00,9.250155969280003e-08,0.000000000000000e+00,9.999999714470417e-01,1.000000000000000e+00,5.074999866420464e+00,1,2.249999903142452e-03,2.249999903142452e-03,4.000000059604645e-01,5.000000000000000e-01
