"Ma","Schlieren","cell_ids","cell_node_ids","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.198218058275382e-01,2.201636480094928e-01,51,62927,6.273752526506768e-01,2.065034298055547e-01,0.000000000000000e+00,1.881152119853731e+00,9.806202093952741e-01,1.884803293063540e-04,0.000000000000000e+00,1.325634084046842e+00,1.000000000000000e+00,5.120527312187503e+00,1,0.000000000000000e+00,1.050099968910217e+00,0.000000000000000e+00,5.000000000000000e-01
7.198567178048620e-01,2.612867739533045e-01,82,62989,6.113653090439444e-01,-1.722152915687338e-01,0.000000000000000e+00,1.881034780337063e+00,9.806563550275536e-01,6.972438565907206e-04,0.000000000000000e+00,1.325604920661826e+00,1.000000000000000e+00,5.120461301796784e+00,1,2.500000118743628e-04,1.050099968910217e+00,2.500000118743628e-04,5.000000000000000e-01
7.198916297821860e-01,3.024098998971183e-01,114,63052,5.953553654372293e-01,-5.509340129430134e-01,0.000000000000000e+00,1.880917440820395e+00,9.806925006598333e-01,1.206007383875124e-03,0.000000000000000e+00,1.325575757276809e+00,1.000000000000000e+00,5.120395291406062e+00,1,5.000000237487257e-04,1.050099968910217e+00,5.000000237487257e-04,5.000000000000000e-01
7.199265417554459e-01,3.435330210535632e-01,145,63115,5.793454236942808e-01,-9.296526902286557e-01,0.000000000000000e+00,1.880800101317387e+00,9.807286462879050e-01,1.714770851931614e-03,0.000000000000000e+00,1.325546593895188e+00,1.000000000000000e+00,5.120329281023027e+00,1,7.500000065192580e-04,1.050099968910217e+00,7.500000065192580e-04,5.000000000000000e-01
7.199614537368341e-01,3.846561517847338e-01,176,63178,5.633354782237443e-01,-1.308371455691608e+00,0.000000000000000e+00,1.880682761787059e+00,9.807647919243925e-01,2.223534438443873e-03,0.000000000000000e+00,1.325517430506777e+00,1.000000000000000e+00,5.120263270624623e+00,1,1.000000047497451e-03,1.050099968910217e+00,1.000000047497451e-03,5.000000000000000e-01
7.199383093039213e-01,4.184978259829832e-01,239,63240,5.568944014908849e-01,-1.543302462649986e+00,0.000000000000000e+00,1.880145915688575e+00,9.806765058485650e-01,2.801781459849854e-03,0.000000000000000e+00,1.325369404741016e+00,1.000000000000000e+00,5.119660564233141e+00,1,1.249999972060323e-03,1.050099968910217e+00,1.249999972060323e-03,5.000000000000000e-01
7.199151648712612e-01,4.523395173233950e-01,301,63303,5.504533199406805e-01,-1.778233606324863e+00,0.000000000000000e+00,1.879609069419804e+00,9.805882197552669e-01,3.380028737321966e-03,0.000000000000000e+00,1.325221378928908e+00,1.000000000000000e+00,5.119057857662970e+00,1,1.500000013038516e-03,1.050099968910217e+00,1.500000013038516e-03,5.000000000000000e-01
7.198920204386011e-01,4.861812086638072e-01,364,63366,5.440122383904791e-01,-2.013164749999743e+00,0.000000000000000e+00,1.879072223151033e+00,9.804999336619685e-01,3.958276014794070e-03,0.000000000000000e+00,1.325073353116800e+00,1.000000000000000e+00,5.118455151092799e+00,1,1.750000054016709e-03,1.050099968910217e+00,1.750000054016709e-03,5.000000000000000e-01
7.198688760059410e-01,5.200229000042198e-01,426,63429,5.375711568402808e-01,-2.248095893674625e+00,0.000000000000000e+00,1.878535376882263e+00,9.804116475686704e-01,4.536523292266167e-03,0.000000000000000e+00,1.324925327304692e+00,1.000000000000000e+00,5.117852444522628e+00,1,2.000000094994903e-03,1.050099968910217e+00,2.000000094994903e-03,5.000000000000000e-01
7.198307771998204e-01,5.057428536181140e-01,489,63491,4.891048423939059e-01,-2.154374391168719e+00,0.000000000000000e+00,1.878041288045223e+00,9.803038906856490e-01,4.976739133523321e-03,0.000000000000000e+00,1.324780889888684e+00,1.000000000000000e+00,5.117243674320233e+00,1,2.249999903142452e-03,1.050099968910217e+00,2.249999903142452e-03,5.000000000000000e-01
7.197926783638997e-01,4.914628122179572e-01,551,63554,4.406384987784753e-01,-2.060652926259162e+00,0.000000000000000e+00,1.877547198731780e+00,9.801961337096695e-01,5.416955437212823e-03,0.000000000000000e+00,1.324636452336795e+00,9.999999999999998e-01,5.116634903553180e+00,1,2.499999944120646e-03,1.050099968910217e+00,2.499999944120646e-03,5.000000000000000e-01
7.197545795279792e-01,4.771827708177953e-01,614,63617,3.921721551630348e-01,-1.966931461349570e+00,0.000000000000000e+00,1.877053109418338e+00,9.800883767336905e-01,5.857171740902407e-03,0.000000000000000e+00,1.324492014784906e+00,1.000000000000000e+00,5.116026132786130e+00,1,2.749999985098839e-03,1.050099968910217e+00,2.749999985098839e-03,5.000000000000000e-01
7.197164806920584e-01,4.629027294176434e-01,676,63680,3.437058115476134e-01,-1.873209996440047e+00,0.000000000000000e+00,1.876559020104895e+00,9.799806197577112e-01,6.297388044591826e-03,0.000000000000000e+00,1.324347577233017e+00,9.999999999999999e-01,5.115417362019078e+00,1,3.000000026077032e-03,1.050099968910217e+00,3.000000026077032e-03,5.000000000000000e-01
7.196679454304066e-01,4.498170377686599e-01,739,63742,3.075470265753054e-01,-1.795212797777251e+00,0.000000000000000e+00,1.876145903771719e+00,9.798676176615756e-01,6.636304296353117e-03,0.000000000000000e+00,1.324227286925896e+00,1.000000000000000e+00,5.114887995722305e+00,1,3.250000067055225e-03,1.050099968910217e+00,3.250000067055225e-03,5.000000000000000e-01
7.196194101698432e-01,4.367313459950946e-01,801,63805,2.713882403192163e-01,-1.717215597474277e+00,0.000000000000000e+00,1.875732787430097e+00,9.797546155659870e-01,6.975220558680842e-03,0.000000000000000e+00,1.324106996616256e+00,9.999999999999999e-01,5.114358629417252e+00,1,3.500000108033419e-03,1.050099968910217e+00,3.500000108033419e-03,5.000000000000000e-01
7.195708749544818e-01,4.236456664085274e-01,864,63868,2.352294877386156e-01,-1.639218469811845e+00,0.000000000000000e+00,1.875319671473220e+00,9.796416135756396e-01,7.314136505368254e-03,0.000000000000000e+00,1.323986706418645e+00,1.000000000000000e+00,5.113829263605209e+00,1,3.749999916180968e-03,1.050099968910217e+00,3.749999916180968e-03,5.000000000000000e-01
7.195223396487165e-01,4.105599624479640e-01,926,63931,1.990706678070381e-01,-1.561221196868330e+00,0.000000000000000e+00,1.874906554746854e+00,9.795286113748096e-01,7.653053083336293e-03,0.000000000000000e+00,1.323866415996977e+00,1.000000000000000e+00,5.113299896807144e+00,1,4.000000189989805e-03,1.050099968910217e+00,4.000000189989805e-03,5.000000000000000e-01
7.194837078638956e-01,3.991330482303524e-01,989,63993,1.840483118251812e-01,-1.498226930416218e+00,0.000000000000000e+00,1.874538141454391e+00,9.794348767791401e-01,7.915580410300252e-03,0.000000000000000e+00,1.323761131305961e+00,1.000000000000000e+00,5.112841749444041e+00,1,4.250000230967999e-03,1.050099968910217e+00,4.250000230967999e-03,5.000000000000000e-01
7.194450761435057e-01,3.877061540364269e-01,1051,64056,1.690259677618665e-01,-1.435232769898482e+00,0.000000000000000e+00,1.874169728814180e+00,9.793411423434223e-01,8.178107306321302e-03,0.000000000000000e+00,1.323655846799650e+00,1.000000000000000e+00,5.112383602880180e+00,1,4.499999806284904e-03,1.050099968910217e+00,4.499999806284904e-03,5.000000000000000e-01
7.194064443511586e-01,3.762792385582162e-01,1114,64119,1.540035957172084e-01,-1.372238492044780e+00,0.000000000000000e+00,1.873801315487745e+00,9.792474077331101e-01,8.440634691337635e-03,0.000000000000000e+00,1.323550562097230e+00,9.999999999999998e-01,5.111925455462952e+00,1,4.749999847263098e-03,1.050099968910217e+00,4.749999847263098e-03,5.000000000000000e-01
7.193678125588114e-01,3.648523230800025e-01,1176,64182,1.389812236725420e-01,-1.309244214191063e+00,0.000000000000000e+00,1.873432902161310e+00,9.791536731227981e-01,8.703162076354029e-03,0.000000000000000e+00,1.323445277394811e+00,1.000000000000000e+00,5.111467308045726e+00,1,4.999999888241291e-03,1.050099968910217e+00,4.999999888241291e-03,5.000000000000000e-01
7.193411192357544e-01,3.565283483614489e-01,1239,64244,1.169541004415831e-01,-1.268095485157492e+00,0.000000000000000e+00,1.873139948300765e+00,9.790848030591289e-01,8.875589743657488e-03,0.000000000000000e+00,1.323361638013297e+00,1.000000000000000e+00,5.111108705773515e+00,1,5.249999929219484e-03,1.050099968910217e+00,5.249999929219484e-03,5.000000000000000e-01
7.193144259180344e-01,3.482043750300149e-01,1301,64307,9.492697407924658e-02,-1.226946765889628e+00,0.000000000000000e+00,1.872846994473953e+00,9.790159330065751e-01,9.048017370683283e-03,0.000000000000000e+00,1.323277998641459e+00,1.000000000000000e+00,5.110750103545805e+00,1,5.499999970197678e-03,1.050099968910217e+00,5.499999970197678e-03,5.000000000000000e-01
7.192877326003143e-01,3.398804016985805e-01,1364,64370,7.289984771690959e-02,-1.185798046621761e+00,0.000000000000000e+00,1.872554040647142e+00,9.789470629540213e-01,9.220444997709082e-03,0.000000000000000e+00,1.323194359269621e+00,1.000000000000000e+00,5.110391501318094e+00,1,5.750000011175871e-03,1.050099968910217e+00,5.750000011175871e-03,5.000000000000000e-01
7.192610392825942e-01,3.315564283671459e-01,1426,64433,5.087272135457264e-02,-1.144649327353894e+00,0.000000000000000e+00,1.872261086820330e+00,9.788781929014676e-01,9.392872624734878e-03,0.000000000000000e+00,1.323110719897783e+00,1.000000000000000e+00,5.110032899090385e+00,1,6.000000052154064e-03,1.050099968910217e+00,6.000000052154064e-03,5.000000000000000e-01
7.192412914378834e-01,3.290650543546995e-01,1489,64495,5.839305117191147e-02,-1.132209052377424e+00,0.000000000000000e+00,1.871972366292006e+00,9.788197053774892e-01,9.544803209608127e-03,0.000000000000000e+00,1.323029343260881e+00,1.000000000000000e+00,5.109692308420085e+00,1,6.250000093132257e-03,1.050099968910217e+00,6.250000093132257e-03,5.000000000000000e-01
