,x/h,pressure
121,-2.397699615779591120e+00,8.347616818456550236e-01
122,-2.376035487101252119e+00,8.334964625316203524e-01
123,-2.354238733269143236e+00,8.321899205897570484e-01
124,-2.332309665929304998e+00,8.308310338788682525e-01
125,-2.310248147514090800e+00,8.294132448327441454e-01
126,-2.288054190140838884e+00,8.279381134426645472e-01
127,-2.265727747853334417e+00,8.256166305294818653e-01
128,-2.243268996491074585e+00,8.248305009462832960e-01
129,-2.220677832062326384e+00,8.231709543696070774e-01
130,-2.197954199744479808e+00,8.214454455028223911e-01
131,-2.175098283317623782e+00,8.196710176381286628e-01
132,-2.152110144002819414e+00,8.178267877030415134e-01
133,-2.128989561754670135e+00,8.159149679240672581e-01
134,-2.105736624524523037e+00,8.129388435703023275e-01
135,-2.082351476254320044e+00,8.118817993309137560e-01
136,-2.058834145073031863e+00,8.097580901846190837e-01
137,-2.035184530148370641e+00,8.075632122626366094e-01
138,-2.011402537849619421e+00,8.052915366910804451e-01
139,-1.987488416245355438e+00,8.029483905428418389e-01
140,-1.963442226100855281e+00,8.005254111756975322e-01
141,-1.939263795959036862e+00,7.967579375456514956e-01
142,-1.914953122142128761e+00,7.954532380912040512e-01
143,-1.890510433860507211e+00,7.928013587364165504e-01
144,-1.865935636825305499e+00,7.900631061644327602e-01
145,-1.841228688272823266e+00,7.872561001479223552e-01
146,-1.816389752625635623e+00,7.843665141158360221e-01
147,-1.791418777487615577e+00,7.813976524583179373e-01
148,-1.766315696638842692e+00,7.767912898798136068e-01
149,-1.741080703727759804e+00,7.752204442130569140e-01
150,-1.715713717051664089e+00,7.720153587006182150e-01
151,-1.690214756692160814e+00,7.687331422279086723e-01
152,-1.664583832778340877e+00,7.653711996754172242e-01
153,-1.638821070772151778e+00,7.619373812479436348e-01
154,-1.612926479487527764e+00,7.584289690846445220e-01
155,-1.586899914721458638e+00,7.530503282832372580e-01
156,-1.560741550158602386e+00,7.511910962618513210e-01
157,-1.534451410535427218e+00,7.474662560344267348e-01
158,-1.508029489031873283e+00,7.436752792821756941e-01
159,-1.481475853185523883e+00,7.398169637949173483e-01
160,-1.454790444743639721e+00,7.358964698667185278e-01
161,-1.427973383571581767e+00,7.319141651315224095e-01
162,-1.401024551160865661e+00,7.258349179313515753e-01
163,-1.373944259034194149e+00,7.237823849245309527e-01
164,-1.346732179785461225e+00,7.196386614414104210e-01
165,-1.319388631429928349e+00,7.154442304457986346e-01
166,-1.291913514364978699e+00,7.112082123997565120e-01
167,-1.264306884607638182e+00,7.069292632951005295e-01
168,-1.236568748480000757e+00,7.026142345787936838e-01
169,-1.208699112483867744e+00,6.960824238045997259e-01
170,-1.180698002826000570e+00,6.938871740387527742e-01
171,-1.152565633447746984e+00,6.894857877422158055e-01
172,-1.124301802615034651e+00,6.850631929550284882e-01
173,-1.095906628313655373e+00,6.806243480587731431e-01
174,-1.067380235311725212e+00,6.761754332458228545e-01
175,-1.038722444088623797e+00,6.717207226177388524e-01
176,-1.009933427072303491e+00,6.650201298006447326e-01
177,-9.810132686656689582e-01,6.627926311251280955e-01
178,-9.519618346286075061e-01,6.583355791175063976e-01
