,ndof,h,l2-error,rate,total-vol
0,12,2.886751345948129210e-01,3.573093287680854241e-03,-1.000000000000000000e+00,2.368868758845579237e+00
1,48,1.443375672974064605e-01,5.627884350687404995e-03,-6.554191016005453951e-01,2.377722233720895417e+00
2,192,7.216878364870323026e-02,5.102323811529131843e-03,1.414382220675735879e-01,2.377840906004383914e+00
3,768,3.608439182435161513e-02,2.680861032070105347e-03,9.284580241772494302e-01,2.377844112230763862e+00
4,3072,1.804219591217580757e-02,1.038241973417697436e-03,1.368553717779675827e+00,2.377844281167895257e+00
5,12288,9.021097956087903783e-03,3.303959809539093939e-04,1.651874675866068731e+00,2.377844297309616994e+00
6,49152,4.510548978043951891e-03,1.032136046710878749e-04,1.678562991315565522e+00,2.377844297981315247e+00
7,196608,2.255274489021975946e-03,3.265789472463072470e-05,1.660129449755849418e+00,2.377844298017403712e+00
