,ndof,h,l2-error,rate,total-vol
0,96,1.020620726159657682e-01,4.054538887002527743e-03,-1.000000000000000000e+00,2.377745717166548811e+00
1,384,5.103103630798288409e-02,1.166243722007121158e-03,1.797668534576601695e+00,2.377842465503931191e+00
2,1536,2.551551815399144205e-02,1.216776019228687876e-04,3.260733784660763579e+00,2.377862444287865085e+00
3,6144,1.275775907699572102e-02,1.667849651609558441e-05,2.867002477229957158e+00,2.377850057297041353e+00
4,24576,6.378879538497860512e-03,2.032444931304959231e-06,3.036701074422657687e+00,2.377845209779964275e+00
5,98304,3.189439769248930256e-03,2.486236796541985551e-07,3.031180648704568270e+00,2.377844392192690837e+00
