,ndof,h,l2-error,rate,total-vol
0,12,2.886751345948129210e-01,1.468437538799187512e-03,-1.000000000000000000e+00,2.368868758845542821e+00
1,48,1.443375672974064605e-01,4.855088890002260283e-04,1.596712285983879376e+00,2.377722233720891420e+00
2,192,7.216878364870323026e-02,1.726142937172254034e-03,-1.829982320329669232e+00,2.377840906004383470e+00
3,768,3.608439182435161513e-02,6.321767667534242347e-04,1.449152014517125497e+00,2.377844112230765639e+00
4,3072,1.804219591217580757e-02,4.162628896830543671e-04,6.028330691780636741e-01,2.377844281167889484e+00
5,12288,9.021097956087903783e-03,1.047313585625813434e-04,1.990801468971052923e+00,2.377844297309624100e+00
6,49152,4.510548978043951891e-03,9.386580910691149878e-05,1.580218244864345090e-01,2.377844297981326349e+00
7,196608,2.255274489021975946e-03,6.098543168642814690e-05,6.221350975608391787e-01,2.377844298017439684e+00
