,ndof,h,l2-error,rate,total-vol
0,96,1.020620726159657682e-01,4.185815290520778290e-03,-1.000000000000000000e+00,2.377745717166548811e+00
1,384,5.103103630798288409e-02,1.174902302102877024e-03,1.832967854674998565e+00,2.377842465503931191e+00
2,1536,2.551551815399144205e-02,1.217216783533316322e-04,3.270882759083072244e+00,2.377862444287865085e+00
3,6144,1.275775907699572102e-02,1.667881268519325188e-05,2.867497635227272301e+00,2.377850057297041353e+00
4,24576,6.378879538497860512e-03,2.032435015283226935e-06,3.036735461616510534e+00,2.377845209779964275e+00
5,98304,3.189439769248930256e-03,2.486236985201337431e-07,3.031173500501134654e+00,2.377844392192690837e+00
