,ndof,h,l2-error,rate,total-vol
0,12,2.886751345948129210e-01,9.655962878735003738e-03,-1.000000000000000000e+00,2.368868758845542821e+00
1,48,1.443375672974064605e-01,6.398246465099509048e-03,5.937435626400364708e-01,2.377722233720891420e+00
2,192,7.216878364870323026e-02,5.207950334041137885e-03,2.969608769709086160e-01,2.377840906004383470e+00
3,768,3.608439182435161513e-02,2.783666400041272422e-03,9.037293640283245999e-01,2.377844112230765639e+00
4,3072,1.804219591217580757e-02,1.216143294426355950e-03,1.194673099066063227e+00,2.377844281167889484e+00
5,12288,9.021097956087903783e-03,9.296110667150804009e-04,3.876140783502352583e-01,2.377844297309624100e+00
6,49152,4.510548978043951891e-03,6.638861217040482399e-04,4.856914504918478648e-01,2.377844297981326349e+00
7,196608,2.255274489021975946e-03,4.699596546778220902e-04,4.983988842350494664e-01,2.377844298017438796e+00
