,ndof,h,l2-error,rate,total-vol
0,12,2.886751345948129210e-01,9.606347630436442089e-03,-1.000000000000000000e+00,2.368868758845579237e+00
1,48,1.443375672974064605e-01,8.039198656545879298e-03,2.569363157331416292e-01,2.377722233720895417e+00
2,192,7.216878364870323026e-02,5.698280659656350389e-03,4.965250203860389067e-01,2.377840906004383914e+00
3,768,3.608439182435161513e-02,2.314416078921363064e-03,1.299878429800616519e+00,2.377844112230763862e+00
4,3072,1.804219591217580757e-02,8.602917918996803859e-04,1.427750273138218562e+00,2.377844281167895257e+00
5,12288,9.021097956087903783e-03,2.938392057053383459e-04,1.549799171635383832e+00,2.377844297309616994e+00
6,49152,4.510548978043951891e-03,9.945939000980320475e-05,1.562847413202365976e+00,2.377844297981315247e+00
7,196608,2.255274489021975946e-03,3.450609337675938660e-05,1.527256435399777512e+00,2.377844298017403712e+00
