"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.154331123383193e-01,2.489441240729115e-02,3.082822146397013e-08,-5.587196032667707e-02,1.894206907977256e-02,-6.705733262098961e-16,1.857005992508281e+00,9.718449590376270e-01,-2.244572603607926e-04,0.000000000000000e+00,1.318037860091769e+00,0.000000000000000e+00,5.085373857201963e+00,1,0.000000000000000e+00,1.050099968910217e+00,0.000000000000000e+00,5.000000000000000e-01
7.154319684132140e-01,2.509365366398074e-02,3.083151364385044e-08,-5.595462558609245e-02,1.976203635904757e-02,-6.374331155758706e-16,1.857010728025775e+00,9.718447929991451e-01,-2.106311462650007e-04,0.000000000000000e+00,1.318041626974586e+00,0.000000000000000e+00,5.085386880649509e+00,1,2.500000118743628e-04,1.050099968910217e+00,2.500000118743628e-04,5.000000000000000e-01
7.154308244881089e-01,2.529289492067034e-02,3.083480582373063e-08,-5.603729084550783e-02,2.058200363832272e-02,-6.042929049418241e-16,1.857015463543270e+00,9.718446269606635e-01,-1.968050321692086e-04,0.000000000000000e+00,1.318045393857405e+00,0.000000000000000e+00,5.085399904097055e+00,1,5.000000237487257e-04,1.050099968910217e+00,5.000000237487257e-04,5.000000000000000e-01
7.154296805631370e-01,2.549213615416519e-02,3.083809800322771e-08,-5.611995609529968e-02,2.140197082214092e-02,-5.711526981658373e-16,1.857020199060214e+00,9.718444609222010e-01,-1.829789196829881e-04,0.000000000000000e+00,1.318049160739785e+00,0.000000000000000e+00,5.085412927543084e+00,1,7.500000065192580e-04,1.050099968910217e+00,7.500000065192580e-04,5.000000000000000e-01
7.154285366378987e-01,2.569137743404950e-02,3.084139018349133e-08,-5.620262136433857e-02,2.222193819687262e-02,-5.380124836737948e-16,1.857024934578260e+00,9.718442948836998e-01,-1.691528039776249e-04,0.000000000000000e+00,1.318052927623042e+00,0.000000000000000e+00,5.085425950992145e+00,1,1.000000047497451e-03,1.050099968910217e+00,1.000000047497451e-03,5.000000000000000e-01
7.154273927131932e-01,2.589061862115489e-02,3.084468236222185e-08,-5.628528659488344e-02,2.304190518977738e-02,-5.048722846138539e-16,1.857029670094101e+00,9.718441288452760e-01,-1.553266947105473e-04,0.000000000000000e+00,1.318056694504545e+00,0.000000000000000e+00,5.085438974435144e+00,1,1.249999972060323e-03,1.050099968910217e+00,1.249999972060323e-03,5.000000000000000e-01
7.154262487879548e-01,2.608985990103922e-02,3.084797454248535e-08,-5.636795186392231e-02,2.386187256450922e-02,-4.717320701217883e-16,1.857034405612147e+00,9.718439628067751e-01,-1.415005790051836e-04,0.000000000000000e+00,1.318060461387801e+00,0.000000000000000e+00,5.085451997884205e+00,1,1.500000013038516e-03,1.050099968910217e+00,1.500000013038516e-03,5.000000000000000e-01
7.154251048627165e-01,2.628910118092354e-02,3.085126672274892e-08,-5.645061713296119e-02,2.468183993924099e-02,-4.385918556297345e-16,1.857039141130193e+00,9.718437967682739e-01,-1.276744632998201e-04,0.000000000000000e+00,1.318064228271058e+00,0.000000000000000e+00,5.085465021333268e+00,1,1.750000054016709e-03,1.050099968910217e+00,1.750000054016709e-03,5.000000000000000e-01
7.154239609374784e-01,2.648834246080787e-02,3.085455890301247e-08,-5.653328240200008e-02,2.550180731397276e-02,-4.054516411376808e-16,1.857043876648240e+00,9.718436307297729e-01,-1.138483475944567e-04,0.000000000000000e+00,1.318067995154315e+00,0.000000000000000e+00,5.085478044782330e+00,1,2.000000094994903e-03,1.050099968910217e+00,2.000000094994903e-03,5.000000000000000e-01
7.154228170133053e-01,2.668758355513432e-02,3.085785108020995e-08,-5.661594759405092e-02,2.632177392505053e-02,-3.723114575098518e-16,1.857048612161875e+00,9.718434646914262e-01,-1.000222447656648e-04,0.000000000000000e+00,1.318071762034064e+00,0.000000000000000e+00,5.085491068219262e+00,1,2.249999903142452e-03,1.050099968910217e+00,2.249999903142452e-03,5.000000000000000e-01
7.154216730880671e-01,2.688682483501864e-02,3.086114326047351e-08,-5.669861286308979e-02,2.714174129978229e-02,-3.391712430177980e-16,1.857053347679921e+00,9.718432986529252e-01,-8.619612906030135e-05,0.000000000000000e+00,1.318075528917320e+00,0.000000000000000e+00,5.085504091668324e+00,1,2.499999944120646e-03,1.050099968910217e+00,2.499999944120646e-03,5.000000000000000e-01
7.154205291628288e-01,2.708606611490294e-02,3.086443544073718e-08,-5.678127813212867e-02,2.796170867451391e-02,-3.060310285257723e-16,1.857058083197968e+00,9.718431326144241e-01,-7.237001335493943e-05,0.000000000000000e+00,1.318079295800578e+00,0.000000000000000e+00,5.085517115117387e+00,1,2.749999985098839e-03,1.050099968910217e+00,2.749999985098839e-03,5.000000000000000e-01
7.154193852375905e-01,2.728530739478727e-02,3.086772762100068e-08,-5.686394340116755e-02,2.878167604924575e-02,-2.728908140337049e-16,1.857062818716014e+00,9.718429665759230e-01,-5.854389764957536e-05,0.000000000000000e+00,1.318083062683834e+00,0.000000000000000e+00,5.085530138566448e+00,1,3.000000026077032e-03,1.050099968910217e+00,3.000000026077032e-03,5.000000000000000e-01
7.154182413123522e-01,2.748454867467161e-02,3.087101980126419e-08,-5.694660867020643e-02,2.960164342397761e-02,-2.397505995416369e-16,1.857067554234060e+00,9.718428005374220e-01,-4.471778194421109e-05,0.000000000000000e+00,1.318086829567091e+00,0.000000000000000e+00,5.085543162015512e+00,1,3.250000067055225e-03,1.050099968910217e+00,3.250000067055225e-03,5.000000000000000e-01
7.154170973871140e-01,2.768378995455593e-02,3.087431198152775e-08,-5.702927393924530e-02,3.042161079870937e-02,-2.066103850495831e-16,1.857072289752106e+00,9.718426344989208e-01,-3.089166623884766e-05,0.000000000000000e+00,1.318090596450348e+00,0.000000000000000e+00,5.085556185464572e+00,1,3.500000108033419e-03,1.050099968910217e+00,3.500000108033419e-03,5.000000000000000e-01
7.154159534629410e-01,2.788303104888237e-02,3.087760415872528e-08,-5.711193913129616e-02,3.124157740978705e-02,-1.734702014217695e-16,1.857077025265742e+00,9.718424684605742e-01,-1.706556341005681e-05,0.000000000000000e+00,1.318094363330097e+00,0.000000000000000e+00,5.085569208901505e+00,1,3.749999916180968e-03,1.050099968910217e+00,3.749999916180968e-03,5.000000000000000e-01
7.154148095366375e-01,2.808227251432456e-02,3.088089634205492e-08,-5.719460447732305e-02,3.206154554817282e-02,-1.403299560654913e-16,1.857081760788198e+00,9.718423024219185e-01,-3.239434828121928e-06,0.000000000000000e+00,1.318098130216862e+00,0.000000000000000e+00,5.085582232362696e+00,1,4.000000189989805e-03,1.050099968910217e+00,4.000000189989805e-03,5.000000000000000e-01
7.154136656113992e-01,2.828151379420890e-02,3.088418852231843e-08,-5.727726974636193e-02,3.288151292290467e-02,-1.071897415734220e-16,1.857086496306245e+00,9.718421363834174e-01,1.058668087724259e-05,0.000000000000000e+00,1.318101897100119e+00,0.000000000000000e+00,5.085595255811757e+00,1,4.250000230967999e-03,1.050099968910217e+00,4.250000230967999e-03,5.000000000000000e-01
7.154125216882916e-01,2.848075470297746e-02,3.088748069644988e-08,-5.735993486142477e-02,3.370147877032834e-02,-7.404958880983428e-17,1.857091231815470e+00,9.718419703452253e-01,2.441277082946166e-05,0.000000000000000e+00,1.318105663976359e+00,0.000000000000000e+00,5.085608279236562e+00,1,4.499999806284904e-03,1.050099968910217e+00,4.499999806284904e-03,5.000000000000000e-01
7.154113777630534e-01,2.867999598286181e-02,3.089077287671339e-08,-5.744260013046366e-02,3.452144614506020e-02,-4.090937431776417e-17,1.857095967333517e+00,9.718418043067246e-01,3.823888653482635e-05,0.000000000000000e+00,1.318109430859616e+00,0.000000000000000e+00,5.085621302685624e+00,1,4.749999847263098e-03,1.050099968910217e+00,4.749999847263098e-03,5.000000000000000e-01
7.154102338378150e-01,2.887923726274613e-02,3.089406505697694e-08,-5.752526539950253e-02,3.534141351979197e-02,-7.769159825710333e-18,1.857100702851562e+00,9.718416382682233e-01,5.206500224018980e-05,0.000000000000000e+00,1.318113197742873e+00,0.000000000000000e+00,5.085634326134686e+00,1,4.999999888241291e-03,1.050099968910217e+00,4.999999888241291e-03,5.000000000000000e-01
7.154090899125768e-01,2.907847854263045e-02,3.089735723724050e-08,-5.760793066854140e-02,3.616138089452373e-02,2.537105466634326e-17,1.857105438369608e+00,9.718414722297223e-01,6.589111794555317e-05,0.000000000000000e+00,1.318116964626130e+00,0.000000000000000e+00,5.085647349583748e+00,1,5.249999929219484e-03,1.050099968910217e+00,5.249999929219484e-03,5.000000000000000e-01
7.154079459873385e-01,2.927771982251478e-02,3.090064941750407e-08,-5.769059593758027e-02,3.698134826925550e-02,5.851126915839697e-17,1.857110173887655e+00,9.718413061912212e-01,7.971723365091659e-05,0.000000000000000e+00,1.318120731509387e+00,0.000000000000000e+00,5.085660373032810e+00,1,5.499999970197678e-03,1.050099968910217e+00,5.499999970197678e-03,5.000000000000000e-01
7.154068020621002e-01,2.947696110239908e-02,3.090394159776768e-08,-5.777326120661916e-02,3.780131564398718e-02,9.165148365043242e-17,1.857114909405701e+00,9.718411401527201e-01,9.354334935627841e-05,0.000000000000000e+00,1.318124498392644e+00,0.000000000000000e+00,5.085673396481871e+00,1,5.750000011175871e-03,1.050099968910217e+00,5.750000011175871e-03,5.000000000000000e-01
7.154056581368621e-01,2.967620238228343e-02,3.090723377803118e-08,-5.785592647565803e-02,3.862128301871905e-02,1.247916981425043e-16,1.857119644923747e+00,9.718409741142191e-01,1.073694650616434e-04,0.000000000000000e+00,1.318128265275901e+00,0.000000000000000e+00,5.085686419930934e+00,1,6.000000052154064e-03,1.050099968910217e+00,6.000000052154064e-03,5.000000000000000e-01
7.154045142116237e-01,2.987544366216775e-02,3.091052595829474e-08,-5.793859174469691e-02,3.944125039345080e-02,1.579319126345582e-16,1.857124380441793e+00,9.718408080757179e-01,1.211955807670069e-04,0.000000000000000e+00,1.318132032159157e+00,0.000000000000000e+00,5.085699443379996e+00,1,6.250000093132257e-03,1.050099968910217e+00,6.250000093132257e-03,5.000000000000000e-01
7.154033702863853e-01,3.007468494205205e-02,3.091381813855835e-08,-5.802125701373579e-02,4.026121776818248e-02,1.910721271265925e-16,1.857129115959839e+00,9.718406420372165e-01,1.350216964723685e-04,0.000000000000000e+00,1.318135799042414e+00,0.000000000000000e+00,5.085712466829057e+00,1,6.500000134110451e-03,1.050099968910217e+00,6.500000134110451e-03,5.000000000000000e-01
7.154022263611471e-01,3.027392622193640e-02,3.091711031882186e-08,-5.810392228277466e-02,4.108118514291435e-02,2.242123416186655e-16,1.857133851477886e+00,9.718404759987157e-01,1.488478121777337e-04,0.000000000000000e+00,1.318139565925671e+00,0.000000000000000e+00,5.085725490278119e+00,1,6.750000175088644e-03,1.050099968910217e+00,6.750000175088644e-03,5.000000000000000e-01
7.154010824359088e-01,3.047316750182072e-02,3.092040249908542e-08,-5.818658755181354e-02,4.190115251764611e-02,2.573525561107193e-16,1.857138586995932e+00,9.718403099602144e-01,1.626739278830972e-04,0.000000000000000e+00,1.318143332808928e+00,0.000000000000000e+00,5.085738513727181e+00,1,7.000000216066837e-03,1.050099968910217e+00,7.000000216066837e-03,5.000000000000000e-01
7.153999385128014e-01,3.067240841058930e-02,3.092369467321682e-08,-5.826925266687637e-02,4.272111836506987e-02,2.904927088743232e-16,1.857143322505157e+00,9.718401439220226e-01,1.765000178353174e-04,0.000000000000000e+00,1.318147099685169e+00,0.000000000000000e+00,5.085751537151985e+00,1,7.249999791383743e-03,1.050099968910217e+00,7.249999791383743e-03,5.000000000000000e-01
7.153987945875631e-01,3.087164969047362e-02,3.092698685348038e-08,-5.835191793591525e-02,4.354108573980164e-02,3.236329233663769e-16,1.857148058023203e+00,9.718399778835214e-01,1.903261335406808e-04,0.000000000000000e+00,1.318150866568426e+00,0.000000000000000e+00,5.085764560601048e+00,1,7.499999832361937e-03,1.050099968910217e+00,7.499999832361937e-03,5.000000000000000e-01
7.153976506623247e-01,3.107089097035794e-02,3.093027903374394e-08,-5.843458320495412e-02,4.436105311453341e-02,3.567731378584305e-16,1.857152793541250e+00,9.718398118450204e-01,2.041522492460442e-04,0.000000000000000e+00,1.318154633451682e+00,0.000000000000000e+00,5.085777584050110e+00,1,7.749999873340130e-03,1.050099968910217e+00,7.749999873340130e-03,5.000000000000000e-01
7.153965067349557e-01,3.127013262135801e-02,3.093357122013966e-08,-5.851724862796905e-02,4.518102201657317e-02,3.899134140789336e-16,1.857157529068116e+00,9.718396458062100e-01,2.179783907045508e-04,0.000000000000000e+00,1.318158400341956e+00,0.000000000000000e+00,5.085790607523430e+00,1,8.000000379979610e-03,1.050099968910217e+00,8.000000379979610e-03,5.000000000000000e-01
7.153953628118481e-01,3.146937353012656e-02,3.093686339427111e-08,-5.859991374303188e-02,4.600098786399683e-02,4.230535668425156e-16,1.857162264577342e+00,9.718394797680181e-01,2.318044806567686e-04,0.000000000000000e+00,1.318162167218196e+00,0.000000000000000e+00,5.085803630948233e+00,1,8.249999955296516e-03,1.050099968910217e+00,8.249999955296516e-03,5.000000000000000e-01
