iter5 log_res CL CD CM
1 -5.355994 -0.06417168 4.387884 -0.8285814
2 -5.355827 -0.06376718 4.324298 -0.818725
3 -5.357531 -0.0618128 4.25957 -0.8200488
4 -5.359223 -0.0581803 4.20506 -0.8356982
5 -5.361389 -0.05338654 4.157508 -0.8609934
6 -5.36403 -0.04777032 4.114896 -0.8928948
7 -5.36708 -0.04153746 4.076088 -0.9295226
8 -5.370509 -0.0348292 4.040366 -0.9695996
9 -5.374364 -0.02775954 4.007234 -1.0121516
10 -5.378452 -0.02045036 3.976316 -1.0562522
11 -5.382368 -0.013029634 3.947322 -1.1009502
12 -5.385953 -0.005602058 3.920022 -1.1454048
13 -5.389226 0.0017745312 3.89424 -1.1891512
14 -5.392138 0.009097816 3.869834 -1.2322432
15 -5.394648 0.01637795 3.846672 -1.2748668
16 -5.396738 0.02361996 3.824636 -1.3171724
17 -5.398413 0.03082152 3.803624 -1.3592486
18 -5.399697 0.03797416 3.783542 -1.4011266
19 -5.400627 0.04505942 3.764306 -1.4427426
20 -5.401244 0.05205412 3.745846 -1.483979
21 -5.401597 0.05893404 3.728094 -1.5246994
22 -5.401734 0.06569382 3.711004 -1.5648668
23 -5.401698 0.07232782 3.69454 -1.6044336
24 -5.40152 0.07881168 3.67867 -1.6432448
25 -5.401221 0.08511548 3.663358 -1.6811208
26 -5.400816 0.09120732 3.648574 -1.717875
27 -5.400329 0.09705476 3.63429 -1.7533204
28 -5.399754 0.10261736 3.620496 -1.7872194
29 -5.399073 0.10785602 3.60718 -1.8193468
30 -5.398269 0.11273254 3.594332 -1.8494872
31 -5.397325 0.117198 3.581954 -1.8773664
32 -5.396237 0.12120192 3.570046 -1.9027066
33 -5.394986 0.12475022 3.5586 -1.9255512
34 -5.393565 0.1278543 3.54761 -1.945989
35 -5.391974 0.13052992 3.53707 -1.9641406
36 -5.39023 0.13279466 3.526976 -1.980118
37 -5.388344 0.13466938 3.517324 -1.9940496
38 -5.386345 0.1361793 3.508118 -2.00609
39 -5.384239 0.13735794 3.499358 -2.016448
40 -5.382033 0.13823574 3.49105 -2.025298
41 -5.379745 0.1388374 3.48318 -2.032758
42 -5.377394 0.13919542 3.47575 -2.03903
43 -5.374997 0.1393454 3.468756 -2.044346
44 -5.372581 0.13932474 3.462196 -2.048952
45 -5.370188 0.1391705 3.456074 -2.053096
46 -5.367885 0.13891836 3.450388 -2.05702
47 -5.365768 0.1386007 3.445138 -2.06093
48 -5.363926 0.13822324 3.440326 -2.064874
49 -5.362444 0.13778508 3.435946 -2.068854
50 -5.361392 0.13728044 3.431998 -2.072844
51 -5.36082 0.1367002 3.428482 -2.076796
52 -5.361036 0.13603496 3.425392 -2.080668
53 -5.36195 0.13532296 3.422694 -2.08502
54 -5.363467 0.13458694 3.42035 -2.090202
55 -5.36543 0.13383732 3.418332 -2.096374
56 -5.367746 0.13307798 3.416608 -2.10358
57 -5.370447 0.1323021 3.415132 -2.111678
58 -5.37324 0.13146792 3.413842 -2.120024
59 -5.37571 0.13054664 3.412684 -2.128112
60 -5.377769 0.12955714 3.411644 -2.136024
61 -5.379369 0.12852204 3.4107 -2.143868
62 -5.380521 0.12746704 3.409834 -2.151762
63 -5.381288 0.1264214 3.409026 -2.15984
64 -5.381767 0.12542004 3.408254 -2.168268
65 -5.382088 0.12450526 3.4075 -2.177256
66 -5.382376 0.12372428 3.406742 -2.187034
67 -5.38274 0.12312178 3.405962 -2.19782
68 -5.383298 0.1227318 3.405134 -2.209762
69 -5.384151 0.12257368 3.404234 -2.22292
70 -5.385373 0.12265266 3.403234 -2.23727
71 -5.387002 0.12296276 3.402102 -2.252724
72 -5.389021 0.12348998 3.40081 -2.269156
73 -5.39136 0.12421488 3.399326 -2.286404
74 -5.393891 0.12511442 3.397622 -2.304298
75 -5.396441 0.12616316 3.39567 -2.322648
76 -5.398813 0.12733428 3.393442 -2.341268
77 -5.400809 0.12860022 3.390912 -2.359962
78 -5.402268 0.1299334 3.38806 -2.378542
79 -5.40309 0.13130664 3.38486 -2.396818
80 -5.403245 0.13269366 3.381292 -2.41461
81 -5.402755 0.13406962 3.37734 -2.431746
82 -5.401703 0.13541146 3.372984 -2.448066
83 -5.400208 0.13669828 3.368212 -2.463426
84 -5.398407 0.13791174 3.363006 -2.477694
85 -5.396466 0.13903364 3.357358 -2.490728
86 -5.394532 0.14004806 3.351262 -2.50239
87 -5.392734 0.14094412 3.344706 -2.512592
88 -5.391173 0.14171334 3.337692 -2.521262
89 -5.389921 0.14238674 3.330204 -2.528788
90 -5.389014 0.14297576 3.322236 -2.535284
91 -5.388444 0.14346844 3.313786 -2.540552
92 -5.388162 0.14382708 3.304854 -2.544072
93 -5.388094 0.14406044 3.29546 -2.545908
94 -5.388135 0.1441852 3.28563 -2.546224
95 -5.388159 0.14421846 3.27539 -2.545176
96 -5.388039 0.14417714 3.26476 -2.542926
97 -5.387658 0.14407768 3.253762 -2.53962
98 -5.386924 0.14393568 3.242414 -2.535404
99 -5.385774 0.1437657 3.230734 -2.530412
100 -5.384185 0.14358112 3.218734 -2.52477
101 -5.382168 0.14339398 3.206426 -2.518596
102 -5.379772 0.14321498 3.193822 -2.511994
103 -5.377078 0.14305338 3.180932 -2.505058
104 -5.374186 0.14291664 3.167762 -2.497872
105 -5.371203 0.14281028 3.154326 -2.490504
106 -5.368233 0.1427401 3.140626 -2.483022
107 -5.365358 0.14271202 3.126668 -2.475498
108 -5.362632 0.14272886 3.11245 -2.467974
109 -5.360084 0.1427918 3.097976 -2.460486
110 -5.357758 0.1429009 3.08324 -2.453056
111 -5.355815 0.14305352 3.068238 -2.44568
112 -5.354165 0.14324 3.052976 -2.438266
113 -5.352756 0.1434518 3.037448 -2.43074
114 -5.351537 0.14368044 3.02166 -2.423032
115 -5.350478 0.14391752 3.00561 -2.415074
116 -5.349562 0.14415532 2.9893 -2.406802
117 -5.348857 0.14438786 2.972736 -2.39818
118 -5.348351 0.14461468 2.955928 -2.389242
119 -5.347708 0.14483904 2.938888 -2.380074
120 -5.346911 0.14505596 2.921624 -2.37065
121 -5.346002 0.14526098 2.904142 -2.36095
122 -5.345028 0.1454487 2.88646 -2.35094
123 -5.343962 0.14561518 2.86859 -2.340608
124 -5.342792 0.14575688 2.85055 -2.329952
125 -5.341557 0.14587008 2.83235 -2.31896
126 -5.3403 0.14595112 2.81401 -2.307624
127 -5.339059 0.1459969 2.795544 -2.295944
128 -5.337874 0.1460048 2.776972 -2.283918
129 -5.336782 0.14597312 2.758312 -2.27156
130 -5.335815 0.14590096 2.739584 -2.258882
131 -5.334998 0.14578842 2.72081 -2.24591
132 -5.334351 0.14563656 2.702014 -2.232676
133 -5.333886 0.14544734 2.683218 -2.219216
134 -5.333605 0.14522354 2.664448 -2.205578
135 -5.333502 0.14496866 2.645728 -2.191812
136 -5.333562 0.14468682 2.627082 -2.17797
137 -5.333769 0.14438256 2.608536 -2.164114
138 -5.334103 0.14406078 2.590114 -2.150304
139 -5.334537 0.14372716 2.57184 -2.136606
140 -5.335045 0.14338798 2.55374 -2.123098
141 -5.335605 0.14304904 2.535832 -2.109848
142 -5.336199 0.14271576 2.518142 -2.096916
143 -5.336817 0.14239312 2.500688 -2.084362
144 -5.337452 0.14208554 2.483492 -2.072236
145 -5.338111 0.14179662 2.466572 -2.060578
146 -5.338812 0.1415286 2.449944 -2.049414
147 -5.339582 0.14128328 2.433624 -2.03876
148 -5.340455 0.14106302 2.417628 -2.028648
149 -5.34147 0.1408696 2.401966 -2.019096
150 -5.34267 0.14070424 2.386656 -2.010124
151 -5.344091 0.14056732 2.371704 -2.001734
152 -5.345768 0.14045824 2.357124 -1.993925
153 -5.347727 0.14037536 2.34292 -1.9866756
154 -5.349988 0.14031556 2.329104 -1.9799508
155 -5.352555 0.14027418 2.31568 -1.9736938
156 -5.355416 0.1402446 2.302656 -1.9678246
157 -5.358541 0.14021818 2.29004 -1.9622362
158 -5.361878 0.14018426 2.27784 -1.956796
159 -5.365356 0.14013024 2.266066 -1.9513474
160 -5.368893 0.14004214 2.25473 -1.945716
161 -5.372401 0.13990528 2.243848 -1.9397186
162 -5.375816 0.13970516 2.233436 -1.9331756
163 -5.379235 0.13942866 2.223514 -1.9259254
164 -5.382543 0.13906502 2.214106 -1.9178368
165 -5.385674 0.13860744 2.205232 -1.9088302
166 -5.388593 0.1380537 2.196916 -1.8988852
167 -5.391292 0.13740664 2.189186 -1.8880454
168 -5.393791 0.13667392 2.182058 -1.8764158
169 -5.396144 0.13586762 2.175556 -1.8641574
