iter3 log_res CL CD CM
1 -5.355994 -0.06410994 4.377094 -0.8285994
2 -5.35586 -0.06409392 4.370494 -0.8274266
3 -5.355618 -0.06411466 4.362396 -0.825749
4 -5.355407 -0.06411426 4.354214 -0.824225
5 -5.355317 -0.06408472 4.346226 -0.822956
6 -5.355345 -0.06402658 4.338466 -0.8219418
7 -5.355451 -0.06394102 4.330928 -0.8211716
8 -5.355608 -0.06382936 4.323596 -0.8206306
9 -5.355791 -0.06369358 4.31645 -0.8203028
10 -5.355989 -0.06353484 4.309478 -0.8201776
11 -5.356192 -0.06335412 4.302668 -0.8202446
12 -5.356397 -0.06315238 4.296004 -0.820495
13 -5.356598 -0.06293046 4.289482 -0.8209206
14 -5.356796 -0.06268914 4.283088 -0.8215136
15 -5.35699 -0.06242918 4.276818 -0.822267
16 -5.357179 -0.0621513 4.270662 -0.8231738
17 -5.357364 -0.06185612 4.264616 -0.8242278
18 -5.357546 -0.0615443 4.258674 -0.825423
19 -5.357727 -0.0612164 4.252828 -0.826754
20 -5.357906 -0.060873 4.247078 -0.8282154
21 -5.358085 -0.06051462 4.241414 -0.8298022
22 -5.358264 -0.0601418 4.235838 -0.8315098
23 -5.358445 -0.05975498 4.230342 -0.8333338
24 -5.358629 -0.05935464 4.224924 -0.8352696
25 -5.358817 -0.05894124 4.21958 -0.8373134
26 -5.359008 -0.05851518 4.21431 -0.839461
27 -5.359205 -0.0580769 4.209108 -0.841709
28 -5.359408 -0.05762678 4.203974 -0.8440534
29 -5.35962 -0.05716522 4.198902 -0.8464912
30 -5.359839 -0.0566926 4.193894 -0.8490186
31 -5.360063 -0.05620926 4.188946 -0.8516324
32 -5.360292 -0.05571554 4.184054 -0.8543298
33 -5.360527 -0.05521176 4.17922 -0.857108
34 -5.360767 -0.05469818 4.174442 -0.8599642
35 -5.361013 -0.05417508 4.169714 -0.862896
36 -5.361264 -0.05364272 4.16504 -0.8659008
37 -5.361521 -0.05310138 4.160414 -0.8689764
38 -5.361784 -0.0525513 4.155838 -0.8721204
39 -5.362052 -0.05199268 4.151308 -0.8753308
40 -5.362326 -0.0514258 4.146824 -0.8786052
41 -5.362606 -0.05085082 4.142386 -0.881942
42 -5.36289 -0.05026796 4.13799 -0.885339
43 -5.36318 -0.04967744 4.133638 -0.8887944
44 -5.363476 -0.04907944 4.129326 -0.8923064
45 -5.363776 -0.04847414 4.125056 -0.8958736
46 -5.364082 -0.04786172 4.120824 -0.8994938
47 -5.364392 -0.04724234 4.116632 -0.903166
48 -5.364707 -0.04661618 4.112478 -0.9068884
49 -5.365027 -0.04598338 4.108362 -0.9106594
50 -5.365351 -0.0453441 4.10428 -0.9144778
51 -5.36568 -0.0446985 4.100234 -0.918342
52 -5.366013 -0.04404672 4.096224 -0.922251
53 -5.36635 -0.04338888 4.092248 -0.9262034
54 -5.366692 -0.04272512 4.088304 -0.9301976
55 -5.367037 -0.04205558 4.084394 -0.934233
56 -5.367386 -0.0413804 4.080514 -0.938308
57 -5.36774 -0.04069968 4.076668 -0.9424216
58 -5.368097 -0.04001356 4.072852 -0.9465726
59 -5.368459 -0.03932216 4.069066 -0.9507598
60 -5.368824 -0.0386256 4.06531 -0.9549824
61 -5.369193 -0.037924 4.061584 -0.9592392
62 -5.369567 -0.0372175 4.057886 -0.9635292
63 -5.369945 -0.03650622 4.054216 -0.9678512
64 -5.370327 -0.03579028 4.050574 -0.972204
65 -5.370713 -0.0350698 4.04696 -0.9765868
66 -5.371104 -0.03434496 4.043372 -0.9809984
67 -5.3715 -0.03361584 4.039812 -0.9854378
68 -5.3719 -0.03288262 4.036276 -0.9899036
69 -5.372306 -0.03214544 4.032768 -0.9943946
70 -5.372716 -0.03140448 4.029284 -0.99891
71 -5.373131 -0.03065984 4.025824 -1.0034484
72 -5.373551 -0.02991174 4.022388 -1.0080082
73 -5.373975 -0.02916034 4.018978 -1.0125886
74 -5.374404 -0.0284058 4.01559 -1.017188
75 -5.374837 -0.0276483 4.012226 -1.021805
76 -5.375274 -0.02688804 4.008886 -1.0264384
77 -5.375714 -0.02612518 4.005566 -1.0310868
78 -5.376157 -0.02535994 4.00227 -1.0357486
79 -5.376601 -0.02459246 3.998996 -1.0404226
80 -5.377048 -0.02382296 3.995744 -1.0451074
81 -5.377495 -0.02305158 3.992512 -1.0498016
82 -5.377943 -0.02227854 3.989302 -1.0545036
83 -5.37839 -0.02150398 3.986112 -1.0592124
84 -5.378837 -0.02072808 3.982942 -1.0639266
85 -5.379283 -0.019950984 3.979792 -1.0686448
86 -5.379727 -0.01917285 3.976664 -1.073366
87 -5.380169 -0.018393818 3.973554 -1.078089
88 -5.380609 -0.01761402 3.970462 -1.0828126
89 -5.381045 -0.016833586 3.967392 -1.087536
90 -5.381479 -0.016052628 3.964338 -1.0922582
91 -5.38191 -0.015271258 3.961304 -1.0969782
92 -5.382338 -0.014489586 3.958288 -1.1016952
93 -5.382762 -0.013707708 3.95529 -1.1064084
94 -5.383182 -0.012925712 3.952312 -1.111117
95 -5.383599 -0.012143666 3.94935 -1.1158206
96 -5.384012 -0.011361622 3.946404 -1.1205186
97 -5.384422 -0.010579626 3.943478 -1.125211
98 -5.384828 -0.00979771 3.940568 -1.1298972
