iter log_res CL CD CM
116 -5.578669 0.009489586 1.2484826 -0.2861936
117 -5.579872 0.010028888 1.2478864 -0.2890598
118 -5.581058 0.010570136 1.24729 -0.291937
119 -5.582226 0.011113298 1.246693 -0.2948246
120 -5.583376 0.011658338 1.2460956 -0.2977226
121 -5.584508 0.012205222 1.2454976 -0.300631
122 -5.585621 0.012753918 1.244899 -0.3035492
123 -5.586717 0.013304388 1.2442998 -0.3064774
124 -5.587793 0.013856596 1.2437 -0.309415
125 -5.588851 0.014410508 1.2430996 -0.3123622
126 -5.589891 0.014966088 1.2424984 -0.3153186
127 -5.590911 0.015523302 1.2418964 -0.318284
128 -5.591913 0.01608211 1.2412938 -0.3212582
129 -5.592895 0.016642478 1.2406902 -0.3242412
130 -5.593858 0.017204368 1.2400858 -0.3272324
131 -5.594802 0.017767744 1.2394806 -0.3302318
132 -5.595726 0.018332568 1.2388744 -0.3332392
133 -5.596632 0.018898804 1.2382672 -0.3362546
134 -5.597517 0.019466414 1.237659 -0.3392774
135 -5.598383 0.02003536 1.2370498 -0.3423074
136 -5.599229 0.0206056 1.2364396 -0.3453448
137 -5.600056 0.0211771 1.2358282 -0.348389
138 -5.600863 0.02174984 1.2352158 -0.35144
139 -5.60165 0.02232374 1.2346022 -0.3544976
140 -5.602418 0.0228988 1.2339876 -0.3575614
141 -5.603166 0.02347496 1.2333716 -0.3606312
142 -5.603894 0.02405218 1.2327544 -0.3637068
143 -5.604602 0.02463044 1.232136 -0.3667882
144 -5.605291 0.02520968 1.2315162 -0.369875
145 -5.605961 0.02578988 1.2308952 -0.372967
146 -5.60661 0.02637098 1.2302728 -0.376064
147 -5.60724 0.02695298 1.229649 -0.3791656
148 -5.607851 0.02753578 1.2290238 -0.3822718
149 -5.608443 0.0281194 1.2283972 -0.3853824
150 -5.609015 0.02870376 1.2277692 -0.388497
151 -5.609568 0.02928884 1.2271398 -0.3916156
152 -5.610103 0.02987458 1.2265088 -0.3947376
153 -5.610618 0.03046098 1.2258762 -0.3978632
154 -5.611115 0.03104796 1.2252422 -0.400992
155 -5.611593 0.03163552 1.2246064 -0.4041238
156 -5.612053 0.03222358 1.2239692 -0.4072582
157 -5.612495 0.03281212 1.2233304 -0.4103954
158 -5.612918 0.03340112 1.2226898 -0.4135348
159 -5.613324 0.0339905 1.2220476 -0.4166762
160 -5.613712 0.03458026 1.2214038 -0.4198196
161 -5.614082 0.03517034 1.2207582 -0.4229646
162 -5.614436 0.0357607 1.2201108 -0.426111
163 -5.614772 0.03635132 1.2194618 -0.4292586
164 -5.615092 0.03694214 1.2188108 -0.4324072
165 -5.615396 0.03753312 1.2181582 -0.4355566
166 -5.615684 0.03812426 1.2175038 -0.4387066
167 -5.615956 0.03871548 1.2168476 -0.441857
168 -5.616213 0.03930676 1.2161894 -0.4450076
169 -5.616453 0.03989806 1.2155294 -0.448158
170 -5.616677 0.04048936 1.2148674 -0.451308
171 -5.616885 0.0410806 1.2142036 -0.4544578
172 -5.617078 0.04167174 1.2135378 -0.4576066
173 -5.617255 0.04226276 1.2128702 -0.4607546
174 -5.617417 0.04285362 1.2122006 -0.4639016
175 -5.617565 0.04344426 1.2115288 -0.467047
176 -5.617698 0.04403468 1.2108552 -0.470191
177 -5.617816 0.04462482 1.2101796 -0.4733332
178 -5.61792 0.04521466 1.2095018 -0.4764736
179 -5.61801 0.04580416 1.208822 -0.4796116
180 -5.618086 0.04639326 1.2081402 -0.4827474
181 -5.618148 0.04698196 1.2074564 -0.4858806
182 -5.618197 0.04757022 1.2067704 -0.4890108
183 -5.618233 0.048158 1.2060822 -0.4921384
184 -5.618256 0.0487454 1.205392 -0.4952636
185 -5.618266 0.04933248 1.2046998 -0.4983866
186 -5.618263 0.04991926 1.2040054 -0.5015078
187 -5.618248 0.05050572 1.2033092 -0.504627
188 -5.618222 0.05109188 1.2026108 -0.507744
189 -5.618183 0.05167772 1.2019104 -0.5108592
190 -5.618133 0.05226324 1.2012082 -0.513972
191 -5.618071 0.05284838 1.2005038 -0.5170826
192 -5.617998 0.05343316 1.1997974 -0.5201908
193 -5.617914 0.05401754 1.199089 -0.5232964
194 -5.617818 0.0546015 1.1983786 -0.5263992
195 -5.617713 0.055185 1.1976662 -0.529499
196 -5.617596 0.055768 1.1969516 -0.5325958
197 -5.617469 0.0563505 1.1962352 -0.5356892
198 -5.617332 0.05693242 1.1955166 -0.538779
199 -5.617185 0.05751378 1.1947962 -0.5418652
200 -5.617027 0.05809452 1.1940736 -0.5449474
201 -5.61686 0.05867458 1.193349 -0.5480254
202 -5.616683 0.05925396 1.1926226 -0.551099
203 -5.616496 0.05983262 1.1918938 -0.554168
204 -5.6163 0.0604105 1.1911632 -0.557232
205 -5.616094 0.06098756 1.1904306 -0.560291
206 -5.61588 0.06156378 1.1896958 -0.5633448
207 -5.615656 0.0621391 1.188959 -0.5663928
208 -5.615422 0.0627135 1.1882202 -0.569435
209 -5.61518 0.06328692 1.1874794 -0.572471
210 -5.614929 0.06385932 1.1867366 -0.5755008
211 -5.614669 0.06443066 1.1859916 -0.578524
212 -5.614401 0.06500088 1.1852446 -0.5815402
213 -5.614123 0.06556996 1.1844956 -0.5845496
214 -5.613838 0.06613786 1.1837444 -0.5875514
215 -5.613543 0.0667045 1.1829912 -0.5905456
216 -5.61324 0.06726988 1.182236 -0.593532
217 -5.612929 0.06783392 1.1814786 -0.5965104
218 -5.612609 0.0683966 1.1807192 -0.5994802
219 -5.612282 0.06895786 1.1799578 -0.6024414
220 -5.611946 0.06951766 1.1791942 -0.6053938
221 -5.611601 0.07007596 1.1784286 -0.608337
222 -5.611249 0.07063272 1.1776608 -0.611271
223 -5.610889 0.07118788 1.176891 -0.6141952
224 -5.61052 0.07174138 1.176119 -0.6171094
225 -5.610144 0.07229322 1.175345 -0.6200134
226 -5.60976 0.07284332 1.1745688 -0.6229072
227 -5.609367 0.07339166 1.1737906 -0.6257902
228 -5.608967 0.07393816 1.1730102 -0.6286622
229 -5.60856 0.07448282 1.1722278 -0.631523
230 -5.608144 0.07502556 1.1714432 -0.6343724
231 -5.607721 0.07556634 1.1706566 -0.6372102
232 -5.60729 0.07610512 1.1698678 -0.640036
233 -5.606852 0.07664186 1.169077 -0.6428494
234 -5.606406 0.07717652 1.1682838 -0.6456506
235 -5.605952 0.07770904 1.1674888 -0.648439
236 -5.605491 0.07823938 1.1666914 -0.6512144
237 -5.605022 0.07876748 1.165892 -0.6539764
238 -5.604547 0.07929332 1.1650906 -0.6567252
239 -5.604068 0.07981684 1.164287 -0.6594602
240 -5.603584 0.08033798 1.1634812 -0.6621808
241 -5.603094 0.08085664 1.1626734 -0.664887
242 -5.602599 0.0813728 1.1618636 -0.6675782
243 -5.602097 0.08188638 1.1610518 -0.6702542
244 -5.60159 0.08239732 1.160238 -0.6729146
245 -5.601076 0.08290558 1.1594222 -0.6755592
246 -5.600557 0.08341112 1.1586044 -0.6781876
247 -5.600031 0.08391384 1.1577848 -0.6807994
248 -5.599499 0.08441374 1.156963 -0.6833944
249 -5.598962 0.08491074 1.1561394 -0.6859724
250 -5.598418 0.0854048 1.1553138 -0.6885332
251 -5.597868 0.08589586 1.1544864 -0.6910762
252 -5.597312 0.08638388 1.153657 -0.6936014
253 -5.59675 0.08686878 1.1528256 -0.6961082
254 -5.596182 0.08735056 1.1519924 -0.6985968
255 -5.595608 0.08782912 1.1511574 -0.7010664
256 -5.595028 0.08830444 1.1503204 -0.7035172
257 -5.594443 0.08877646 1.1494816 -0.7059484
258 -5.593851 0.08924512 1.1486408 -0.7083602
259 -5.593254 0.0897104 1.1477984 -0.7107522
260 -5.592651 0.09017222 1.146954 -0.7131238
261 -5.592043 0.09063052 1.1461078 -0.7154752
262 -5.591428 0.09108528 1.1452598 -0.7178058
263 -5.590808 0.09153644 1.14441 -0.7201154
264 -5.590183 0.09198394 1.1435586 -0.7224038
265 -5.589552 0.09242772 1.1427052 -0.7246706
266 -5.588916 0.09286774 1.1418502 -0.7269156
267 -5.588274 0.09330394 1.1409934 -0.7291386
268 -5.587627 0.09373628 1.140135 -0.731339
269 -5.586974 0.09416466 1.1392748 -0.7335168
270 -5.586317 0.09458908 1.1384128 -0.7356714
271 -5.585654 0.09500944 1.1375492 -0.7378028
272 -5.584986 0.09542568 1.136684 -0.7399102
273 -5.584313 0.09583776 1.1358172 -0.7419938
274 -5.583635 0.09624556 1.1349488 -0.7440528
275 -5.582952 0.09664902 1.1340786 -0.7460868
276 -5.582265 0.09704794 1.133207 -0.7480946
277 -5.581573 0.0974421 1.132334 -0.7500754
278 -5.580878 0.09783148 1.1314594 -0.7520284
279 -5.580177 0.09821606 1.1305834 -0.7539542
280 -5.579473 0.09859582 1.129706 -0.7558524
281 -5.578765 0.09897078 1.1288272 -0.757723
282 -5.578052 0.09934094 1.1279468 -0.7595662
