"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","primitives_6","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.194611212905262e-01,2.258115012185329e-02,0.000000000000000e+00,2.629770721144659e-02,-4.644120736393444e-02,-2.442490654175480e-15,1.862288761005375e+00,9.780888479388627e-01,3.220141358675765e-04,0.000000000000000e+00,1.320121685403498e+00,2.306711619917385e-269,0.000000000000000e+00,5.098754851760783e+00,1,0.000000000000000e+00,1.050099968910217e+00,0.000000000000000e+00,5.000000000000000e-01
7.194582143296392e-01,2.464341747194789e-02,0.000000000000000e+00,2.611173069231399e-02,-5.194893312080526e-02,-2.212839923351266e-15,1.862277150702982e+00,9.780845615854983e-01,4.957160828318009e-04,0.000000000000000e+00,1.320121492322969e+00,2.306088787200812e-269,0.000000000000000e+00,5.098750240782760e+00,1,2.500000118743628e-04,1.050099968910217e+00,2.500000118743628e-04,5.000000000000000e-01
7.194553073687524e-01,2.670568482204250e-02,0.000000000000000e+00,2.592575417318141e-02,-5.745665887767609e-02,-1.983189192527055e-15,1.862265540400590e+00,9.780802752321340e-01,6.694180297960252e-04,0.000000000000000e+00,1.320121299242440e+00,2.305465954484239e-269,0.000000000000000e+00,5.098745629804737e+00,1,5.000000237487257e-04,1.050099968910217e+00,5.000000237487257e-04,5.000000000000000e-01
7.194524004082038e-01,2.876795193205754e-02,0.000000000000000e+00,2.573977767569924e-02,-6.296438399336318e-02,-1.753538488437729e-15,1.862253930099549e+00,9.780759888792684e-01,8.431199565386769e-04,0.000000000000000e+00,1.320121106161933e+00,2.304843121840322e-269,0.000000000000000e+00,5.098741018827250e+00,1,7.500000065192580e-04,1.050099968910217e+00,7.500000065192580e-04,5.000000000000000e-01
7.194494934469787e-01,3.083021952223170e-02,0.000000000000000e+00,2.555380113491622e-02,-6.847211039141773e-02,-1.523887730878634e-15,1.862242319795806e+00,9.780717025254053e-01,1.016821923724473e-03,0.000000000000000e+00,1.320120913081382e+00,2.304220289051093e-269,0.000000000000000e+00,5.098736407848690e+00,1,1.000000047497451e-03,1.050099968910217e+00,1.000000047497451e-03,5.000000000000000e-01
7.194465864871071e-01,3.289248615208779e-02,0.000000000000000e+00,2.536782468073517e-02,-7.397983422473761e-02,-1.294237080259012e-15,1.862230709497468e+00,9.780674161735378e-01,1.190523810023996e-03,0.000000000000000e+00,1.320120720000921e+00,2.303597456552041e-269,0.000000000000000e+00,5.098731796872277e+00,1,1.249999972060323e-03,1.050099968910217e+00,1.249999972060323e-03,5.000000000000000e-01
7.194436795258817e-01,3.495475374226179e-02,0.000000000000000e+00,2.518184813995198e-02,-7.948756062279186e-02,-1.064586322699989e-15,1.862219099193724e+00,9.780631298196744e-01,1.364225777209780e-03,0.000000000000000e+00,1.320120526920369e+00,2.302974623763109e-269,0.000000000000000e+00,5.098727185893717e+00,1,1.500000013038516e-03,1.050099968910217e+00,1.500000013038516e-03,5.000000000000000e-01
7.194407725646564e-01,3.701702133243599e-02,0.000000000000000e+00,2.499587159916896e-02,-8.499528702084649e-02,-8.349355651408741e-16,1.862207488889980e+00,9.780588434658113e-01,1.537927744395578e-03,0.000000000000000e+00,1.320120333839818e+00,2.302351790973879e-269,0.000000000000000e+00,5.098722574915157e+00,1,1.750000054016709e-03,1.050099968910217e+00,1.750000054016709e-03,5.000000000000000e-01
7.194378656034313e-01,3.907928892261008e-02,0.000000000000000e+00,2.480989505838585e-02,-9.050301341890093e-02,-6.052848075818061e-16,1.862195878586236e+00,9.780545571119479e-01,1.711629711581369e-03,0.000000000000000e+00,1.320120140759266e+00,2.301728958184799e-269,0.000000000000000e+00,5.098717963936597e+00,1,2.000000094994903e-03,1.050099968910217e+00,2.000000094994903e-03,5.000000000000000e-01
7.194349586449132e-01,4.114155459214801e-02,0.000000000000000e+00,2.462391869080677e-02,-9.601073468748594e-02,-3.756342639017092e-16,1.862184268293305e+00,9.780502707620764e-01,1.885331516994613e-03,0.000000000000000e+00,1.320119947678895e+00,2.301106125975925e-269,0.000000000000000e+00,5.098713352962331e+00,1,2.249999903142452e-03,1.050099968910217e+00,2.249999903142452e-03,5.000000000000000e-01
