,near-wall-spacing,x-integrated-force-top,x-integrated-force-bottom,x-integrated-force-top-bottom
0,1.999999999999999909e-06,2.750315621999999962e+02,4.889763099999999696e+01,3.239291931999999861e+02
1,9.999999999999999547e-07,2.962208549000000062e+02,5.059993751999999745e+01,3.468207924000000162e+02
2,4.999999999999999774e-07,3.103576903000000016e+02,5.187904980999999793e+01,3.622367401000000200e+02
3,2.499999999999999887e-07,3.152331662999999935e+02,5.229075593000000310e+01,3.675239222000000154e+02
4,1.249999999999999943e-07,3.177119346000000064e+02,5.245671451999999846e+01,3.701686490999999819e+02
