"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","primitives_6","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.500000000000010e+00,3.280034356573911e-12,0.000000000000000e+00,-9.603488593918935e-13,3.126371472127964e-12,4.607417332605772e-15,1.000000000000004e+00,1.774823934929893e+00,-4.220855897522019e-15,0.000000000000000e+00,9.999999999999958e-01,1.851059458118113e-99,0.000000000000000e+00,5.075000000000001e+00,1,2.499999944120646e-03,2.499999944120646e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000010e+00,3.326421482077294e-12,0.000000000000000e+00,-6.146633476345323e-13,2.711292676662993e-12,2.102930790844140e-14,1.000000000000004e+00,1.774823934929894e+00,-3.654724605916007e-15,0.000000000000000e+00,9.999999999999957e-01,2.895763394824570e-99,0.000000000000000e+00,5.075000000000000e+00,1,2.749999985098839e-03,2.749999985098839e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000011e+00,3.372808607580729e-12,0.000000000000000e+00,-2.689778358770849e-13,2.296213881198157e-12,3.745119848427852e-14,1.000000000000003e+00,1.774823934929894e+00,-3.088593314310084e-15,0.000000000000000e+00,9.999999999999954e-01,3.940467331531027e-99,0.000000000000000e+00,5.075000000000000e+00,1,3.000000026077032e-03,3.000000026077032e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000011e+00,3.419195733084061e-12,0.000000000000000e+00,7.670767588019360e-14,1.881135085733048e-12,5.387308906011283e-14,1.000000000000003e+00,1.774823934929894e+00,-2.522462022703980e-15,0.000000000000000e+00,9.999999999999954e-01,4.985171268237488e-99,0.000000000000000e+00,5.075000000000001e+00,1,3.250000067055225e-03,3.250000067055225e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000011e+00,3.465582858587444e-12,0.000000000000000e+00,4.223931876375561e-13,1.466056290268076e-12,7.029497963594855e-14,1.000000000000003e+00,1.774823934929894e+00,-1.956330731097965e-15,0.000000000000000e+00,9.999999999999953e-01,6.029875204943944e-99,0.000000000000000e+00,5.075000000000000e+00,1,3.500000108033419e-03,3.500000108033419e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000012e+00,4.244185991509624e-12,0.000000000000000e+00,1.704857679225065e-12,3.168367496928977e-12,6.104863233962730e-14,1.000000000000003e+00,1.774823934929894e+00,-1.745029396711455e-15,0.000000000000000e+00,9.999999999999949e-01,1.612518108593978e-99,0.000000000000000e+00,5.075000000000000e+00,1,3.749999916180968e-03,3.749999916180968e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000013e+00,5.677705556475073e-12,0.000000000000000e+00,3.825206765033844e-12,6.764535717557776e-12,2.884387526992007e-14,1.000000000000004e+00,1.774823934929895e+00,-1.851097261321700e-15,0.000000000000000e+00,9.999999999999947e-01,-7.690269983664367e-99,0.000000000000000e+00,5.075000000000000e+00,1,4.000000189989805e-03,4.000000189989805e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000013e+00,7.111223786372850e-12,0.000000000000000e+00,5.945553876115805e-12,1.036070058899760e-11,-3.360851806802794e-15,1.000000000000004e+00,1.774823934929896e+00,-1.957165027148656e-15,0.000000000000000e+00,9.999999999999943e-01,-1.699304941203561e-98,0.000000000000000e+00,5.075000000000000e+00,1,4.250000230967999e-03,4.250000230967999e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000014e+00,8.544739346135302e-12,0.000000000000000e+00,8.065897037744168e-12,1.395685876205951e-11,-3.556551889755719e-14,1.000000000000005e+00,1.774823934929896e+00,-2.063232595409038e-15,0.000000000000000e+00,9.999999999999941e-01,-2.629581151263279e-98,0.000000000000000e+00,5.075000000000001e+00,1,4.499999806284904e-03,4.499999806284904e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000015e+00,9.978257576033306e-12,0.000000000000000e+00,1.018624414882622e-11,1.755302363350028e-11,-6.777024597428435e-14,1.000000000000006e+00,1.774823934929897e+00,-2.169300361236082e-15,0.000000000000000e+00,9.999999999999939e-01,-3.559859094100407e-98,0.000000000000000e+00,5.075000000000001e+00,1,4.749999847263098e-03,4.749999847263098e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000016e+00,1.141177580593113e-11,0.000000000000000e+00,1.230659125990818e-11,2.114918850494033e-11,-9.997497305100935e-14,1.000000000000006e+00,1.774823934929898e+00,-2.275368127063057e-15,0.000000000000000e+00,9.999999999999937e-01,-4.490137036937535e-98,0.000000000000000e+00,5.075000000000001e+00,1,4.999999888241291e-03,4.999999888241291e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000025e+00,1.958135030674223e-11,0.000000000000000e+00,8.427728313107354e-12,3.970729856664455e-11,-3.865091640517224e-14,1.000000000000013e+00,1.774823934929905e+00,-5.801906355340954e-15,0.000000000000000e+00,9.999999999999899e-01,5.890431237571067e-98,0.000000000000000e+00,5.075000000000001e+00,1,5.249999929219484e-03,5.249999929219484e-03,4.000000059604645e-01,5.000000000000000e-01
1.500000000000024e+00,1.677613935665514e-11,0.000000000000000e+00,6.125519281261815e-12,3.401114714052481e-11,-4.355147834953943e-14,1.000000000000013e+00,1.774823934929904e+00,-5.424178821442490e-15,0.000000000000000e+00,9.999999999999900e-01,3.788312693865576e-98,0.000000000000000e+00,5.075000000000000e+00,1,5.499999970197678e-03,5.499999970197678e-03,4.000000059604645e-01,5.000000000000000e-01
