"Ma","Schlieren","cell_ids","cell_node_ids","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.173928861990284e-01,1.165203532395660e+00,27,2603,1.367465972268749e+01,6.476116500199273e-03,0.000000000000000e+00,1.824512667108729e+00,9.759729888755362e-01,-4.120559843918016e-03,0.000000000000000e+00,1.323329122723017e+00,5.109875377410676e+00,1,0.000000000000000e+00,5.200999975204468e-01,0.000000000000000e+00,5.000000000000000e-01
7.173981956129637e-01,1.165159288532281e+00,28,2604,1.367317619086750e+01,6.328026702525891e-03,0.000000000000000e+00,1.824514286137931e+00,9.759781369347712e-01,-4.172915216817443e-03,0.000000000000000e+00,1.323324062672660e+00,5.109862090840409e+00,1,2.500000118743628e-04,5.200999975204468e-01,2.500000118743628e-04,5.000000000000000e-01
7.174035050268985e-01,1.165115044668899e+00,28,2605,1.367169265904746e+01,6.179936904851741e-03,0.000000000000000e+00,1.824515905167132e+00,9.759832849940054e-01,-4.225270589716861e-03,0.000000000000000e+00,1.323319002622303e+00,5.109848804270139e+00,1,5.000000237487257e-04,5.200999975204468e-01,5.000000237487257e-04,5.000000000000000e-01
7.174088144402154e-01,1.165070800810667e+00,29,2606,1.367020912740012e+01,6.031847124417512e-03,0.000000000000000e+00,1.824517524196146e+00,9.759884330526406e-01,-4.277625956521316e-03,0.000000000000000e+00,1.323313942572535e+00,5.109835517701415e+00,1,7.500000065192580e-04,5.200999975204468e-01,7.500000065192580e-04,5.000000000000000e-01
7.174141238547684e-01,1.165026556942134e+00,30,2608,1.366872559540738e+01,5.883757309503434e-03,0.000000000000000e+00,1.824519143225536e+00,9.759935811124744e-01,-4.329981335515705e-03,0.000000000000000e+00,1.323308882521589e+00,5.109822231129601e+00,1,1.000000047497451e-03,5.200999975204468e-01,1.000000047497451e-03,5.000000000000000e-01
7.174194332668491e-01,1.164982313094203e+00,30,2609,1.366724206410545e+01,5.735667563549048e-03,0.000000000000000e+00,1.824520762254173e+00,9.759987291699109e-01,-4.382336690130223e-03,0.000000000000000e+00,1.323303822472999e+00,5.109808944563972e+00,1,1.249999972060323e-03,5.200999975204468e-01,1.249999972060323e-03,5.000000000000000e-01
7.174247426814020e-01,1.164938069225670e+00,31,2610,1.366575853211270e+01,5.587577748634978e-03,0.000000000000000e+00,1.824522381283563e+00,9.760038772297448e-01,-4.434692069124611e-03,0.000000000000000e+00,1.323298762422053e+00,5.109795657992156e+00,1,1.500000013038516e-03,5.200999975204468e-01,1.500000013038516e-03,5.000000000000000e-01
7.174300520959553e-01,1.164893825357137e+00,31,2611,1.366427500011996e+01,5.439487933720908e-03,0.000000000000000e+00,1.824524000312954e+00,9.760090252895786e-01,-4.487047448118999e-03,0.000000000000000e+00,1.323293702371107e+00,5.109782371420342e+00,1,1.750000054016709e-03,5.200999975204468e-01,1.750000054016709e-03,5.000000000000000e-01
7.174353615105088e-01,1.164849581488608e+00,32,2613,1.366279146812727e+01,5.291398118807668e-03,0.000000000000000e+00,1.824525619342344e+00,9.760141733494127e-01,-4.539402827113393e-03,0.000000000000000e+00,1.323288642320161e+00,5.109769084848526e+00,1,2.000000094994903e-03,5.200999975204468e-01,2.000000094994903e-03,5.000000000000000e-01
7.174406709201165e-01,1.164805337661276e+00,33,2614,1.366130793751610e+01,5.143308441812123e-03,0.000000000000000e+00,1.824527238370227e+00,9.760193214044516e-01,-4.591758157348038e-03,0.000000000000000e+00,1.323283582273928e+00,5.109755798289084e+00,1,2.249999903142452e-03,5.200999975204468e-01,2.249999903142452e-03,5.000000000000000e-01
