"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.500000000000003e+00,5.965466386890309e-11,1.396765058591742e-13,1.317660195806119e-11,1.239960288593630e-10,4.358693868316783e-13,9.999999999999737e-01,1.774823934929886e+00,-3.701845517354201e-15,0.000000000000000e+00,9.999999999999987e-01,0.000000000000000e+00,5.074999999999999e+00,1,0.000000000000000e+00,0.000000000000000e+00,4.000000059604645e-01,5.000000000000000e-01
1.499999999999997e+00,5.053555832296479e-11,1.397084844802129e-13,1.367563977596533e-11,9.899164023563549e-11,3.057256518134993e-13,9.999999999999771e-01,1.774823934929882e+00,-7.695874661241595e-15,0.000000000000000e+00,1.000000000000001e+00,0.000000000000000e+00,5.075000000000000e+00,1,2.500000118743628e-04,2.500000118743628e-04,4.000000059604645e-01,5.000000000000000e-01
1.499999999999991e+00,4.141645277702454e-11,1.397404631012515e-13,1.417467759386743e-11,7.398725161190454e-11,1.755819167953091e-13,9.999999999999807e-01,1.774823934929878e+00,-1.168990380512865e-14,0.000000000000000e+00,1.000000000000004e+00,0.000000000000000e+00,5.075000000000001e+00,1,5.000000237487257e-04,5.000000237487257e-04,4.000000059604645e-01,5.000000000000000e-01
1.499999999999984e+00,3.405103395905989e-11,1.397724417185674e-13,1.470348016243950e-11,5.003766912765270e-11,6.761355603616091e-14,9.999999999999841e-01,1.774823934929872e+00,-1.339918485281285e-14,0.000000000000000e+00,1.000000000000007e+00,0.000000000000000e+00,5.075000000000002e+00,1,7.500000065192580e-04,7.500000065192580e-04,4.000000059604645e-01,5.000000000000000e-01
1.499999999999972e+00,3.236065944247121e-11,1.398044203433288e-13,1.532860379842488e-11,2.950149601098834e-11,3.140613949620750e-14,9.999999999999881e-01,1.774823934929862e+00,-7.714867667019009e-15,0.000000000000000e+00,1.000000000000012e+00,0.000000000000000e+00,5.075000000000002e+00,1,1.000000047497451e-03,1.000000047497451e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999960e+00,3.067028571302445e-11,1.398363989531991e-13,1.595372714331433e-11,8.965332457225936e-12,-4.801260183350002e-15,9.999999999999920e-01,1.774823934929852e+00,-2.030553128191937e-15,0.000000000000000e+00,1.000000000000017e+00,0.000000000000000e+00,5.075000000000003e+00,1,1.249999972060323e-03,1.249999972060323e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999948e+00,2.897991119644065e-11,1.398683775779606e-13,1.657885077930462e-11,-1.157084065943863e-11,-4.100867672331276e-14,9.999999999999960e-01,1.774823934929843e+00,3.653764057603163e-15,0.000000000000000e+00,1.000000000000022e+00,0.000000000000000e+00,5.075000000000003e+00,1,1.500000013038516e-03,1.500000013038516e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999936e+00,2.728953667985362e-11,1.399003562027220e-13,1.720397441529160e-11,-3.210701377610217e-11,-7.721609326326717e-14,9.999999999999997e-01,1.774823934929833e+00,9.338081243397178e-15,0.000000000000000e+00,1.000000000000027e+00,0.000000000000000e+00,5.075000000000003e+00,1,1.750000054016709e-03,1.750000054016709e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999943e+00,3.740973084278988e-11,1.399323348274835e-13,-7.087944988493276e-12,-2.039656246940495e-11,-9.176316429144182e-14,1.000000000000005e+00,1.774823934929839e+00,1.088359829981677e-14,0.000000000000000e+00,1.000000000000024e+00,0.000000000000000e+00,5.075000000000004e+00,1,2.000000094994903e-03,2.000000094994903e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999955e+00,5.117957346096765e-11,1.399643134224625e-13,-3.907961346926321e-11,1.278609531800884e-12,-9.961682259376043e-14,1.000000000000009e+00,1.774823934929849e+00,1.115015733843718e-14,0.000000000000000e+00,1.000000000000019e+00,0.000000000000000e+00,5.075000000000004e+00,1,2.249999903142452e-03,2.249999903142452e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999968e+00,6.494942890332698e-11,1.399962920472240e-13,-7.107131174462690e-11,2.295380171960028e-11,-1.074704882103702e-13,1.000000000000014e+00,1.774823934929859e+00,1.141671662531211e-14,0.000000000000000e+00,1.000000000000014e+00,0.000000000000000e+00,5.075000000000003e+00,1,2.499999944120646e-03,2.499999944120646e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999984e+00,8.211885967447692e-11,1.400133648721037e-13,-8.510750431245875e-11,1.394356106234888e-10,2.457982882976927e-13,9.999999999999709e-01,1.774823934929872e+00,2.814077654314362e-16,0.000000000000000e+00,1.000000000000008e+00,0.000000000000000e+00,5.075000000000005e+00,1,2.749999985098839e-03,2.749999985098839e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999986e+00,7.170114662085372e-11,1.400304376936516e-13,-3.466561234734681e-11,1.351861443364211e-10,2.180429911769744e-13,9.999999999999664e-01,1.774823934929874e+00,-1.344791576022521e-14,0.000000000000000e+00,1.000000000000006e+00,0.000000000000000e+00,5.075000000000004e+00,1,3.000000026077032e-03,3.000000026077032e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999985e+00,6.204183233935866e-11,1.400475105151996e-13,5.388210901734531e-12,1.242027591434995e-10,1.829185363216160e-13,9.999999999999645e-01,1.774823934929873e+00,-2.270701760520742e-14,0.000000000000000e+00,1.000000000000007e+00,0.000000000000000e+00,5.075000000000004e+00,1,3.250000067055225e-03,3.250000067055225e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999971e+00,5.483674491491957e-11,1.400645833367476e-13,1.182558041594114e-11,9.142798235112037e-11,1.239470164512299e-13,9.999999999999705e-01,1.774823934929862e+00,-1.750019662844827e-14,0.000000000000000e+00,1.000000000000012e+00,0.000000000000000e+00,5.075000000000004e+00,1,3.500000108033419e-03,3.500000108033419e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999957e+00,4.763166420073384e-11,1.400816561423952e-13,1.826294393487856e-11,5.865323608261560e-11,6.497555150231709e-14,9.999999999999757e-01,1.774823934929850e+00,-1.229338050091702e-14,0.000000000000000e+00,1.000000000000018e+00,0.000000000000000e+00,5.075000000000002e+00,1,3.749999916180968e-03,3.749999916180968e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999943e+00,4.042657006603441e-11,1.400987289798435e-13,2.470031944435323e-11,2.587842876634740e-11,6.003976710411936e-15,9.999999999999815e-01,1.774823934929839e+00,-7.086554674928058e-15,0.000000000000000e+00,1.000000000000024e+00,0.000000000000000e+00,5.075000000000001e+00,1,4.000000189989805e-03,4.000000189989805e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999929e+00,3.322148264159001e-11,1.401158018013915e-13,3.113768895855572e-11,-6.896348026037522e-12,-5.296754315997953e-14,9.999999999999872e-01,1.774823934929827e+00,-1.879733698168352e-15,0.000000000000000e+00,1.000000000000029e+00,0.000000000000000e+00,5.075000000000001e+00,1,4.250000230967999e-03,4.250000230967999e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999933e+00,3.943546046552678e-11,1.401328745911388e-13,6.113365256559864e-12,-5.734140459050497e-12,-1.073021710495380e-13,9.999999999999943e-01,1.774823934929830e+00,2.877804793431687e-15,0.000000000000000e+00,1.000000000000028e+00,0.000000000000000e+00,5.074999999999999e+00,1,4.499999806284904e-03,4.499999806284904e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999943e+00,4.979616062847858e-11,1.401499474126867e-13,-2.863318914887531e-11,5.915144441471632e-12,-1.602040571509572e-13,1.000000000000002e+00,1.774823934929838e+00,7.496519364372383e-15,0.000000000000000e+00,1.000000000000024e+00,0.000000000000000e+00,5.075000000000000e+00,1,4.749999847263098e-03,4.749999847263098e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999953e+00,6.015686079142462e-11,1.401670202342347e-13,-6.337974355430591e-11,1.756442934199337e-11,-2.131059432523448e-13,1.000000000000010e+00,1.774823934929846e+00,1.211523393531184e-14,0.000000000000000e+00,1.000000000000019e+00,0.000000000000000e+00,5.075000000000000e+00,1,4.999999888241291e-03,4.999999888241291e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999969e+00,8.027793000224371e-11,1.402047734325986e-13,-8.671475802338412e-11,1.378999842036302e-10,1.217877140454471e-13,9.999999999999672e-01,1.774823934929859e+00,4.121763219428131e-15,0.000000000000000e+00,1.000000000000013e+00,0.000000000000000e+00,5.074999999999998e+00,1,5.249999929219484e-03,5.249999929219484e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999970e+00,7.316713561292733e-11,1.402425266402074e-13,-3.610022494403246e-11,1.444142480895328e-10,1.459890310184297e-13,9.999999999999621e-01,1.774823934929861e+00,-6.052274583506240e-15,0.000000000000000e+00,1.000000000000013e+00,0.000000000000000e+00,5.075000000000002e+00,1,5.499999970197678e-03,5.499999970197678e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999968e+00,6.564469231863797e-11,1.402802798478161e-13,4.342586836987759e-12,1.429327946629657e-10,1.593406370263419e-13,9.999999999999595e-01,1.774823934929860e+00,-1.300662206401954e-14,0.000000000000000e+00,1.000000000000014e+00,0.000000000000000e+00,5.075000000000004e+00,1,5.750000011175871e-03,5.750000011175871e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999955e+00,5.679012522932661e-11,1.403180330554249e-13,1.186901814525459e-11,1.155766573464227e-10,1.375818419846682e-13,9.999999999999655e-01,1.774823934929848e+00,-9.541833141848390e-15,0.000000000000000e+00,1.000000000000019e+00,0.000000000000000e+00,5.075000000000001e+00,1,6.000000052154064e-03,6.000000052154064e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999941e+00,4.793555814002128e-11,1.403557862630336e-13,1.939544945352248e-11,8.822052002989180e-11,1.158230469430238e-13,9.999999999999718e-01,1.774823934929836e+00,-6.077044219677373e-15,0.000000000000000e+00,1.000000000000024e+00,0.000000000000000e+00,5.074999999999998e+00,1,6.250000093132257e-03,6.250000093132257e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999928e+00,3.908099105071293e-11,1.403935394706423e-13,2.692188076178980e-11,6.086438271335485e-11,9.406425190136487e-14,9.999999999999775e-01,1.774823934929824e+00,-2.612255297506295e-15,0.000000000000000e+00,1.000000000000029e+00,0.000000000000000e+00,5.074999999999996e+00,1,6.500000134110451e-03,6.500000134110451e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999914e+00,3.022642396140334e-11,1.404312926782511e-13,3.444831207005395e-11,3.350824539681762e-11,7.230545685970856e-14,9.999999999999836e-01,1.774823934929813e+00,8.525336246640614e-16,0.000000000000000e+00,1.000000000000034e+00,0.000000000000000e+00,5.074999999999993e+00,1,6.750000175088644e-03,6.750000175088644e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999917e+00,3.904015763945671e-11,1.404690458858599e-13,7.192551818167963e-12,3.272395702549358e-11,1.983593198850010e-14,9.999999999999918e-01,1.774823934929816e+00,3.243430870178272e-15,0.000000000000000e+00,1.000000000000032e+00,0.000000000000000e+00,5.074999999999991e+00,1,7.000000216066837e-03,7.000000216066837e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999926e+00,5.331364755510400e-11,1.405067990231478e-13,-3.081138189204582e-11,4.015077406664546e-11,-4.212357600951717e-14,1.000000000000001e+00,1.774823934929822e+00,5.302474862162725e-15,0.000000000000000e+00,1.000000000000029e+00,0.000000000000000e+00,5.074999999999990e+00,1,7.249999791383743e-03,7.249999791383743e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999935e+00,6.758716405725125e-11,1.405445522307565e-13,-6.881538639022810e-11,4.757760494135068e-11,-1.040831994163157e-13,1.000000000000010e+00,1.774823934929830e+00,7.361522689424037e-15,0.000000000000000e+00,1.000000000000025e+00,0.000000000000000e+00,5.074999999999990e+00,1,7.499999832361937e-03,7.499999832361937e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999949e+00,8.698695690857146e-11,1.405445522560720e-13,-7.570143490753154e-11,1.640378885375662e-10,2.084985947464522e-13,9.999999999999662e-01,1.774823934929842e+00,-1.325426467717674e-15,0.000000000000000e+00,1.000000000000019e+00,0.000000000000000e+00,5.074999999999990e+00,1,7.749999873340130e-03,7.749999873340130e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999948e+00,8.020441425059554e-11,1.405445522560720e-13,-2.814925880248953e-11,1.657602520526407e-10,1.683107933209342e-13,9.999999999999648e-01,1.774823934929840e+00,-1.202585512247408e-14,0.000000000000000e+00,1.000000000000020e+00,0.000000000000000e+00,5.074999999999993e+00,1,8.000000379979610e-03,8.000000379979610e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999943e+00,7.263309260930155e-11,1.405445522560720e-13,8.999384278364181e-12,1.607223808098610e-10,1.320165074803313e-13,9.999999999999647e-01,1.774823934929837e+00,-1.908704638201332e-14,0.000000000000000e+00,1.000000000000023e+00,0.000000000000000e+00,5.074999999999995e+00,1,8.249999955296516e-03,8.249999955296516e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999929e+00,6.250911222379818e-11,1.405445522560721e-13,1.248211499610119e-11,1.338078778008574e-10,1.083213144737108e-13,9.999999999999696e-01,1.774823934929826e+00,-1.437154398475398e-14,0.000000000000000e+00,1.000000000000029e+00,0.000000000000000e+00,5.074999999999997e+00,1,8.500000461935997e-03,8.500000461935997e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999915e+00,5.238516955299212e-11,1.405445522560720e-13,1.596483273968226e-11,1.068934750560054e-10,8.462620973841794e-14,9.999999999999742e-01,1.774823934929814e+00,-9.656059154075257e-15,0.000000000000000e+00,1.000000000000035e+00,0.000000000000000e+00,5.074999999999998e+00,1,8.750000037252903e-03,8.750000037252903e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999900e+00,4.226122688218412e-11,1.405445522560720e-13,1.944755048326107e-11,7.997907231114991e-11,6.093110500312614e-14,9.999999999999792e-01,1.774823934929803e+00,-4.940574323396908e-15,0.000000000000000e+00,1.000000000000041e+00,0.000000000000000e+00,5.074999999999998e+00,1,8.999999612569809e-03,8.999999612569809e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999886e+00,3.213724649668925e-11,1.405445522560720e-13,2.293028120099818e-11,5.306456930216594e-11,3.723591199654562e-14,9.999999999999840e-01,1.774823934929792e+00,-2.250719261387224e-16,0.000000000000000e+00,1.000000000000047e+00,0.000000000000000e+00,5.074999999999999e+00,1,9.250000119209290e-03,9.250000119209290e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999891e+00,4.261635813249992e-11,1.405445522560720e-13,-5.207550612559302e-12,5.588023243331070e-11,6.494987275118461e-15,9.999999999999890e-01,1.774823934929796e+00,2.577907544872841e-15,0.000000000000000e+00,1.000000000000045e+00,0.000000000000000e+00,5.075000000000001e+00,1,9.499999694526196e-03,9.499999694526196e-03,4.000000059604645e-01,5.000000000000000e-01
1.499999999999903e+00,5.946222376392533e-11,1.405445522560720e-13,-4.311680672527270e-11,6.788303201528319e-11,-2.642333727598989e-14,9.999999999999942e-01,1.774823934929806e+00,4.789898846681281e-15,0.000000000000000e+00,1.000000000000041e+00,0.000000000000000e+00,5.075000000000003e+00,1,9.750000201165676e-03,9.750000201165676e-03,4.000000059604645e-01,5.000000000000000e-01
