"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
6.352137864494635e-01,2.727852023471620e-01,6.473051693766803e-07,-8.268688599403242e-01,2.838111363173849e-01,2.398082834333274e-15,1.947111856631539e+00,8.759795160741034e-01,5.262133871517680e-04,0.000000000000000e+00,1.358376598306194e+00,0.000000000000000e+00,5.137988306106182e+00,1,0.000000000000000e+00,5.200999975204468e-01,0.000000000000000e+00,5.000000000000000e-01
6.354600024663626e-01,2.661181033605211e-01,6.687666098468053e-07,-7.888806916667803e-01,2.982800674236851e-01,2.355061380389146e-15,1.947182809418989e+00,8.763022681132154e-01,4.072069387518841e-04,0.000000000000000e+00,1.358324732035344e+00,0.000000000000000e+00,5.138089928070062e+00,1,2.500000118743628e-04,5.200999975204468e-01,2.500000118743628e-04,5.000000000000000e-01
6.357062184832618e-01,2.594510043738835e-01,6.902280503167679e-07,-7.508925233932480e-01,3.127489985299924e-01,2.312039926445093e-15,1.947253762206438e+00,8.766250201523276e-01,2.882004903520669e-04,0.000000000000000e+00,1.358272865764494e+00,0.000000000000000e+00,5.138191550033941e+00,1,5.000000237487257e-04,5.200999975204468e-01,5.000000237487257e-04,5.000000000000000e-01
6.359524344714977e-01,2.527839061633944e-01,7.116894882884491e-07,-7.129043595421076e-01,3.272179279518852e-01,2.269018477509355e-15,1.947324714985628e+00,8.769477721538665e-01,1.691940558063230e-04,0.000000000000000e+00,1.358220999499681e+00,0.000000000000000e+00,5.138293171985989e+00,1,7.500000065192580e-04,5.200999975204468e-01,7.500000065192580e-04,5.000000000000000e-01
6.361986505170599e-01,2.461168064006047e-01,7.331509312568541e-07,-6.749161868461713e-01,3.416868607425990e-01,2.225997018556924e-15,1.947395667781337e+00,8.772705242305519e-01,5.018759355235254e-05,0.000000000000000e+00,1.358169133222794e+00,0.000000000000000e+00,5.138394793961699e+00,1,1.000000047497451e-03,5.200999975204468e-01,1.000000047497451e-03,5.000000000000000e-01
6.364448664479693e-01,2.394497097424199e-01,7.546123642316513e-07,-6.369280318398394e-01,3.561557867956793e-01,2.182975579637934e-15,1.947466620544006e+00,8.775932761569443e-01,-6.881881328507792e-05,0.000000000000000e+00,1.358117266970057e+00,0.000000000000000e+00,5.138496415890088e+00,1,1.249999972060323e-03,5.200999975204468e-01,1.249999972060323e-03,5.000000000000000e-01
6.366910824935318e-01,2.327826099796276e-01,7.760738072001330e-07,-5.989398591438958e-01,3.706247195863864e-01,2.139954120685515e-15,1.947537573339716e+00,8.779160282336296e-01,-1.878252755391302e-04,0.000000000000000e+00,1.358065400693169e+00,0.000000000000000e+00,5.138598037865798e+00,1,1.500000013038516e-03,5.200999975204468e-01,1.500000013038516e-03,5.000000000000000e-01
6.369372985390942e-01,2.261155102168353e-01,7.975352501686139e-07,-5.609516864479520e-01,3.850936523770933e-01,2.096932661733101e-15,1.947608526135425e+00,8.782387803103149e-01,-3.068317377931856e-04,0.000000000000000e+00,1.358013534416281e+00,0.000000000000000e+00,5.138699659841508e+00,1,1.750000054016709e-03,5.200999975204468e-01,1.750000054016709e-03,5.000000000000000e-01
6.371835145846567e-01,2.194484104540430e-01,8.189966931370948e-07,-5.229635137520083e-01,3.995625851678000e-01,2.053911202780690e-15,1.947679478931135e+00,8.785615323870004e-01,-4.258382000472444e-04,0.000000000000000e+00,1.357961668139393e+00,0.000000000000000e+00,5.138801281817218e+00,1,2.000000094994903e-03,5.200999975204468e-01,2.000000094994903e-03,5.000000000000000e-01
6.376070031835974e-01,3.005748181741759e-01,8.744975731724512e-07,-5.419343385840659e-01,8.252971420527103e-01,1.995626042686985e-15,1.948089521504984e+00,8.791119924414108e-01,-6.666091750203965e-04,0.000000000000000e+00,1.357859730581048e+00,0.000000000000000e+00,5.138928721908405e+00,1,2.249999903142452e-03,5.200999975204468e-01,2.249999903142452e-03,5.000000000000000e-01
6.377870465113378e-01,2.940843058130615e-01,9.299984919627521e-07,-4.774214440341522e-01,8.206837051043412e-01,1.770805912170971e-15,1.948268061317525e+00,8.793070413029211e-01,-8.701906756414513e-04,0.000000000000000e+00,1.357696736588511e+00,0.000000000000000e+00,5.138530119824554e+00,1,2.499999944120646e-03,5.200999975204468e-01,2.499999944120646e-03,5.000000000000000e-01
6.379670898390783e-01,2.875937934519472e-01,9.854994107530558e-07,-4.129085494842385e-01,8.160702681559724e-01,1.545985781654957e-15,1.948446601130066e+00,8.795020901644316e-01,-1.073772176262502e-03,0.000000000000000e+00,1.357533742595973e+00,0.000000000000000e+00,5.138131517740703e+00,1,2.749999985098839e-03,5.200999975204468e-01,2.749999985098839e-03,5.000000000000000e-01
6.381471331668187e-01,2.811032810908342e-01,1.041000329543310e-06,-3.483956549343353e-01,8.114568312076078e-01,1.321165651138959e-15,1.948625140942607e+00,8.796971390259419e-01,-1.277353676883384e-03,0.000000000000000e+00,1.357370748603436e+00,0.000000000000000e+00,5.137732915656852e+00,1,3.000000026077032e-03,5.200999975204468e-01,3.000000026077032e-03,5.000000000000000e-01
6.383271764945589e-01,2.746127687297200e-01,1.096501248333623e-06,-2.838827603844228e-01,8.068433942592401e-01,1.096345520622952e-15,1.948803680755149e+00,8.798921878874522e-01,-1.480935177504415e-03,0.000000000000000e+00,1.357207754610898e+00,0.000000000000000e+00,5.137334313573001e+00,1,3.250000067055225e-03,5.200999975204468e-01,3.250000067055225e-03,5.000000000000000e-01
