"Ma","Schlieren","artificial-viscosity","density-gradient:0","density-gradient:1","density-gradient:2","primitives_1","primitives_2","primitives_3","primitives_4","primitives_5","primitives_6","shock-sensor","total-enthalpy","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
7.194666157586742e-01,4.428414106282497e-02,0.000000000000000e+00,1.038263680780560e-01,-2.724452219415826e-02,2.420293097001249e-15,1.867466493587511e+00,9.786999207662652e-01,2.538813363352040e-04,0.000000000000000e+00,1.321751483103338e+00,0.000000000000000e+00,0.000000000000000e+00,5.105056992580527e+00,1,0.000000000000000e+00,1.050099968910217e+00,0.000000000000000e+00,5.000000000000000e-01
7.194643796629160e-01,4.633675875947038e-02,0.000000000000000e+00,1.031281407882606e-01,-3.801088381084271e-02,1.820769183568602e-15,1.867459682456639e+00,9.786970458258005e-01,4.963463488504878e-04,0.000000000000000e+00,1.321752752863560e+00,0.000000000000000e+00,0.000000000000000e+00,5.105058919848920e+00,1,2.500000118743628e-04,1.050099968910217e+00,2.500000118743628e-04,5.000000000000000e-01
7.194621435671578e-01,4.838937645611568e-02,0.000000000000000e+00,1.024299134984646e-01,-4.877724542752817e-02,1.221245270135907e-15,1.867452871325767e+00,9.786941708853355e-01,7.388113613657637e-04,0.000000000000000e+00,1.321754022623783e+00,0.000000000000000e+00,0.000000000000000e+00,5.105060847117315e+00,1,5.000000237487257e-04,1.050099968910217e+00,5.000000237487257e-04,5.000000000000000e-01
7.194599074716599e-01,5.044199391380497e-02,0.000000000000000e+00,1.017316862899536e-01,-5.954360579084333e-02,6.217214264969802e-16,1.867446060195687e+00,9.786912959452058e-01,9.812763456544099e-04,0.000000000000000e+00,1.321755292383858e+00,0.000000000000000e+00,0.000000000000000e+00,5.105062774385487e+00,1,7.500000065192580e-04,1.050099968910217e+00,7.500000065192580e-04,5.000000000000000e-01
7.194576713756412e-01,5.249461184940647e-02,0.000000000000000e+00,1.010334589188735e-01,-7.030996866089773e-02,2.219744327052256e-17,1.867439249064022e+00,9.786884210044062e-01,1.223741386396332e-03,0.000000000000000e+00,1.321756562144229e+00,0.000000000000000e+00,0.000000000000000e+00,5.105064701654103e+00,1,1.000000047497451e-03,1.050099968910217e+00,1.000000047497451e-03,5.000000000000000e-01
7.194554352806639e-01,5.454722882918337e-02,0.000000000000000e+00,1.003352318729305e-01,-8.107632651747484e-02,-5.773262607807959e-16,1.867432437935529e+00,9.786855460649454e-01,1.466206314231680e-03,0.000000000000000e+00,1.321757831904008e+00,0.000000000000000e+00,0.000000000000000e+00,5.105066628921825e+00,1,1.249999972060323e-03,1.050099968910217e+00,1.249999972060323e-03,5.000000000000000e-01
7.194531991846455e-01,5.659984676478491e-02,0.000000000000000e+00,9.963700450185084e-02,-9.184268938752893e-02,-1.176850244007324e-15,1.867425626803865e+00,9.786826711241461e-01,1.708671354973613e-03,0.000000000000000e+00,1.321759101664378e+00,0.000000000000000e+00,0.000000000000000e+00,5.105068556190444e+00,1,1.500000013038516e-03,1.050099968910217e+00,1.500000013038516e-03,5.000000000000000e-01
7.194509630886268e-01,5.865246470038641e-02,0.000000000000000e+00,9.893877713077076e-02,-1.026090522575833e-01,-1.776374227233777e-15,1.867418815672199e+00,9.786797961833464e-01,1.951136395715535e-03,0.000000000000000e+00,1.321760371424749e+00,0.000000000000000e+00,0.000000000000000e+00,5.105070483459061e+00,1,1.750000054016709e-03,1.050099968910217e+00,1.750000054016709e-03,5.000000000000000e-01
7.194487269926082e-01,6.070508263598787e-02,0.000000000000000e+00,9.824054975969035e-02,-1.133754151276379e-01,-2.375898210460081e-15,1.867412004540534e+00,9.786769212425470e-01,2.193601436457441e-03,0.000000000000000e+00,1.321761641185119e+00,0.000000000000000e+00,0.000000000000000e+00,5.105072410727679e+00,1,2.000000094994903e-03,1.050099968910217e+00,2.000000094994903e-03,5.000000000000000e-01
7.194343189256324e-01,2.084792620865275e-01,0.000000000000000e+00,1.040570481023620e-01,-6.073289092361551e-01,-1.312844765947887e-15,1.867107194541087e+00,9.786231992997342e-01,2.826782167560192e-03,0.000000000000000e+00,1.321674580774617e+00,0.000000000000000e+00,0.000000000000000e+00,5.104716979524741e+00,1,2.249999903142452e-03,1.050099968910217e+00,2.249999903142452e-03,5.000000000000000e-01
