x pp_inf
0.0493537337 2.34660816
0.0505557396 2.35395193
0.0518029928 2.36259627
0.0530969501 2.37283778
0.0544390865 2.38469362
0.0558309145 2.39808679
0.0572739579 2.41370916
0.05879694785 2.43040037
0.0603199378 2.44709158
0.0619260333 2.4655664
0.0635896698 2.48487234
0.0653124675 2.50476837
0.0670960546 2.52522874
0.0689420775 2.54643488
0.0708521679 2.56857252
0.0728279725 2.59157538
0.0748711303 2.61496687
0.076983273 2.63825822
0.0791660175 2.66125464
0.0814209655 2.68385696
0.0837496966 2.70617032
0.086153768 2.72823095
0.0886346921 2.75000978
0.0911939517 2.77146912
0.0938329771 2.79248261
0.0965531468 2.81290483
0.099355787 2.83260131
0.102242149 2.85156512
0.105213411 2.86981797
0.108270667 2.88733768
0.111414939 2.90400505
0.11464712 2.91971684
0.11796803 2.93439269
0.121378347 2.94793415
0.124878652 2.96032405
0.128469378 2.97172761
0.132150814 2.98210907
0.135923132 2.99183989
0.139786303 3.00253654
0.14378538 3.010525465
0.147784457 3.01851439
0.151918575 3.02486897
0.156141862 3.03123546
0.160453424 3.0373013
0.164852217 3.04269743
0.16933693 3.04726291
0.173906118 3.05090022
0.178558066 3.05372071
0.183290899 3.05619121
0.188102499 3.05836964
0.192990586 3.05932212
0.197952598 3.05852008
0.202985853 3.05733228
0.20808737 3.05763221
0.213254049 3.05901122
0.218482539 3.0592401
0.223769337 3.05761075
0.229110733 3.05552912
0.234502852 3.0542326
0.239941671 3.05367708
0.245422989 3.05325913
0.250942498 3.0526247
0.256495684 3.05179596
0.262078047 3.05100274
0.267684907 3.05036926
0.273311466 3.04970551
0.278952956 3.04887152
0.28460446 3.04806924
0.29026112 3.04753232
0.295917958 3.04697871
0.301570088 3.04800105
0.3072053345 3.047737715
0.312840581 3.04747438
0.318449229 3.04591322
0.324033797 3.04490447
0.329589576 3.04413462
0.335112035 3.04363728
0.340596676 3.04355431
0.346039146 3.04345465
0.351435304 3.04276204
0.356781036 3.041646
0.362072468 3.04091859
0.367305905 3.04113841
0.372477829 3.04198265
0.377584845 3.04243898
0.382623851 3.04175997
0.387591869 3.04023957
0.392486155 3.03895521
0.397304147 3.03885794
0.402043581 3.04001045
0.40670228 3.04148364
0.411278367 3.04201674
0.415770113 3.04092383
0.420176059 3.03850031
